B1_GRUPO,DTA_LANCAMENTO,QTD_ENTRADAS
C014,2025-01-17,9
C014,2025-01-21,5
C014,2025-01-24,1
C014,2025-01-28,3
C014,2025-01-29,4
C014,2025-02-03,1
C014,2025-02-12,1
C014,2025-02-13,1
C014,2025-02-17,2
C014,2025-02-19,2
C014,2025-02-21,1
C014,2025-02-24,2
C014,2025-02-25,1
C014,2025-02-26,1
C014,2025-02-27,1
C014,2025-03-05,2
C014,2025-03-07,2
C014,2025-03-11,3
C014,2025-03-13,1
C014,2025-03-14,8
C014,2025-03-17,1
C014,2025-03-18,4
C014,2025-03-20,1
C014,2025-03-21,1
C014,2025-03-24,4
C014,2025-03-25,5
C014,2025-03-27,2
C014,2025-03-28,7
C014,2025-03-31,1
C014,2025-04-03,5
