DATA_PEDIDO,Component,consumption_predicted_month,base_date,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,MULTIPLO_COMPRA,KANBAN_MIN,KANBAN_MAX,B1_ATIVO,DTA_CADASTRO,COD_FORNE,FORNEC_NOM,COD_FABRI,MOEDA,CUSTO_PRODUTO,forecast_horizon_months,forecast_month_str,base_month_str
2020-01-02,T0911,68,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,-70,2020-01-01,2025-11-01
2020-01-02,T0911,68,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,3460,MTE JAGUA,,None,0.0,-70,2020-01-01,2025-11-01
2020-01-02,T0911,68,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,4087,MTE - SBC,,None,0.0,-70,2020-01-01,2025-11-01
2020-01-02,T0911,68,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,-70,2020-01-01,2025-11-01
2020-01-03,T0911,0,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,-70,2020-01-01,2025-11-01
2020-01-03,T0911,0,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,3460,MTE JAGUA,,None,0.0,-70,2020-01-01,2025-11-01
2020-01-03,T0911,0,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,4087,MTE - SBC,,None,0.0,-70,2020-01-01,2025-11-01
2020-01-03,T0911,0,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,-70,2020-01-01,2025-11-01
2020-01-04,T0911,0,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,-70,2020-01-01,2025-11-01
2020-01-04,T0911,0,2025-11-01,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,3460,MTE JAGUA,,None,0.0,-70,2020-01-01,2025-11-01
