Component,MONTH,Consumption
T0911,2020-01-01,1516.0
T0911,2020-02-01,1708.0
T0911,2020-03-01,364.0
T0911,2020-04-01,366.0
T0911,2020-05-01,2158.0
T0911,2020-06-01,1215.0
T0911,2020-07-01,1122.0
T0911,2020-08-01,1338.0
T0911,2020-09-01,2345.0
T0911,2020-10-01,2474.0
T0911,2020-11-01,1884.0
T0911,2020-12-01,3482.0
T0911,2021-01-01,1031.0
T0911,2021-02-01,1449.0
T0911,2021-03-01,951.0
T0911,2021-04-01,550.0
T0911,2021-05-01,849.0
T0911,2021-06-01,1110.0
T0911,2021-07-01,1317.0
T0911,2021-08-01,2008.0
T0911,2021-09-01,1967.0
T0911,2021-10-01,1283.0
T0911,2021-11-01,727.0
T0911,2021-12-01,650.0
T0911,2022-01-01,764.0
T0911,2022-02-01,665.0
T0911,2022-03-01,1011.0
T0911,2022-04-01,1275.0
T0911,2022-05-01,1064.0
T0911,2022-06-01,1003.0
