component,component_lead_time,component_review_period,component_inventory_level,component_final_order,component_demand,end_date,total_lost,projected_level
T0908,127,65,0.0,0.0,0,2026-06-06,0.0,0.0
T0909,127,65,0.0,0.0,0,2026-06-06,0.0,0.0
T0911,127,65,3432.0,10010.0,18201,2026-06-06,8531.71875,3753.40625
T0911L,127,65,438.0,0.0,-9608,2026-06-06,0.0,10995.999999999982
T0912L,127,65,1513.0,3000.0,8353,2026-06-06,3349.9010416666697,416.5937499999972
T0913L,100,35,12400.0,0.0,0,2026-04-10,0.0,12400.0
T0914L,127,65,1042.0,0.0,-22198,2026-06-06,0.0,25149.999999999938
T0921,127,65,0.0,0.0,0,2026-06-06,0.0,0.0
T0922,127,65,887.0,0.0,-3163,2026-06-06,0.0,4050.000000000014
T0922L,127,65,970.0,0.0,-9608,2026-06-06,0.0,11427.999999999976
T0923,127,65,1034.0,0.0,-15244,2026-06-06,0.0,16778.00000000004
T0924,127,65,296.0,0.0,-971,2026-06-06,0.0,1267.0000000000007
T0925,127,65,374.0,0.0,-746,2026-06-06,0.0,1119.9999999999975
T0926,127,65,413.0,0.0,-1124,2026-06-06,0.0,1537.0000000000036
T0927,127,65,158.0,0.0,-1716,2026-06-06,0.0,1874.0
T0928L,127,65,123.0,0.0,-1053,2026-06-06,0.0,1176.0
T0929,127,65,723.0,0.0,-1896,2026-06-06,0.0,2619.0
T0930L,127,65,64.0,0.0,-10347,2026-06-06,0.0,10661.0
T0931,127,65,90.0,0.0,-1089,2026-06-06,0.0,1179.0
T0932,127,65,310.0,0.0,-2130,2026-06-06,0.0,2440.0
T0933L,127,65,20.0,0.0,-2957,2026-06-06,0.0,3036.999999999994
T0934L,127,65,638.0,0.0,-18952,2026-06-06,0.0,19590.0
T0935L,127,65,0.0,0.0,0,2026-06-06,0.0,60.0
T3133,100,35,0.0,0.0,-338,2026-04-10,0.0,338.00000000000034
T3137,100,35,0.0,0.0,-378,2026-04-10,0.0,378.0000000000009
T3142,100,35,4.0,0.0,-304,2026-04-10,0.0,307.9999999999995
T3146,100,35,18.0,0.0,-375,2026-04-10,0.0,392.99999999999926
T3147,100,35,38.0,0.0,-521,2026-04-10,0.0,559.0000000000002
T3148,100,35,215.0,0.0,-375,2026-04-10,0.0,590.0000000000008
T3153,100,35,50.0,0.0,-378,2026-04-10,0.0,428.00000000000114
