index,COD_PRODUTO,COD_COMPONENTE,G1_QUANT
2856,J595.95 - CUSTO,T0933L,1.0
2857,J596.89 - CUSTO,T0934L,1.0
6494,J9801.40.030,T9800,1.0
6495,J9801.40.030HM,T9800,1.0
6496,J9801.40.030NA,T9800,1.0
6497,J9802.40.035,T9800,1.0
6498,J9803.40.035,T9800,1.0
6499,J9804.40.040,T9800,1.0
6572,JK20034,T0912L,1.0
6575,JK20035,T0912L,1.0
6578,JK20036,T0911L,1.0
6579,JK20036,T0922,1.0
6582,JK20037,T0911L,1.0
6583,JK20037,T0922,1.0
6600,JK20045,T475.95,1.0
6601,JK20045,T476.80,1.0
6608,JK20048,T0923,1.0
6611,JK20049,T547.50,1.0
6616,JK20056,T0927,1.0
6618,JK20057,T0925,1.0
6620,JK20058,T0926,1.0
6622,JK20059,T0926,1.0
6655,K20012,T0911,1.0
6658,K20013,T0911,1.0
6661,K20013HM,T0911,1.0
6662,K20013NA,T0911,1.0
6708,K20034,T0912L,1.0
6711,K20035,T0912L,1.0
6714,K20036,T0911L,1.0
6715,K20036,T0922L,1.0
