PEDIDO,COD_FORNE,PRODUTO,DATA_SI,ENTREGA_EFET,QUANTIDADE,MOEDA,PRECO_TOTAL,LEAD_TIME_DIAS
013-117119-P,13808,T99000,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99001,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99002,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99003,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99004,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99005,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99006,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99007,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99008,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99009,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99010,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99011,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99012,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99013,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99014,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99015,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99016,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99017,2025-05-12,2025-07-18,50,US$,2500.0,67.0
013-117119-P,13808,T99018,2025-05-12,2025-07-18,2,US$,100.0,67.0
013-117218-P,13808,T99001,2025-06-23,2025-08-22,100,US$,5000.0,60.0
013-117218-P,13808,T99002,2025-06-23,2025-08-22,100,US$,5000.0,60.0
013-117218-P,13808,T99004,2025-06-23,2025-08-22,100,US$,5000.0,60.0
013-117218-P,13808,T99011,2025-06-23,2025-08-22,100,US$,5000.0,60.0
020-115756-P,4994,T7031,2023-12-18,2024-05-24,25,US$,57.49999999999999,158.0
020-115756-P,4994,T70417,2023-12-18,2024-05-24,50,US$,310.0,158.0
020-115756-P,4994,T71048,2023-12-18,2024-05-24,80,US$,352.0,158.0
020-115756-P,4994,T71050,2023-12-18,2024-05-24,400,US$,2000.0,158.0
020-115756-P,4994,T71061,2023-12-18,2024-05-24,200,US$,800.0,158.0
020-115756-P,4994,T71064,2023-12-18,2024-05-24,30,US$,180.0,158.0
020-115758-P,6523,T70298,2023-12-18,2024-04-01,50,US$,187.5,105.0
