index,COMPONENT,COD_FORNE,MES,QUANT_PREDITA,LEAD_TIME,MOEDA,PRECO_PREDITO,CLASSE_ABC
2493,T7432,12996,2025-11-01,634.0,4,US$,4311.2,A
2494,T7432,12996,2025-12-01,655.0,4,US$,4454.0,A
2495,T7432,12996,2026-01-01,828.0,4,US$,5630.4,A
149,T480.78,13443,2025-11-01,143.0,5,US$,743.6,A
315,T568.113,13443,2025-11-01,5.0,5,US$,17.5,C
369,T593.92,13443,2025-11-01,123.0,5,US$,1291.5,A
417,T631.105,13443,2025-11-01,5.0,5,US$,52.5,C
483,T668.82,13443,2025-11-01,5.0,5,US$,26.0,C
150,T480.78,13443,2025-12-01,134.0,5,US$,696.8,A
316,T568.113,13443,2025-12-01,5.0,5,US$,17.5,C
370,T593.92,13443,2025-12-01,124.0,5,US$,1302.0,A
418,T631.105,13443,2025-12-01,5.0,5,US$,52.5,C
484,T668.82,13443,2025-12-01,5.0,5,US$,26.0,C
151,T480.78,13443,2026-01-01,131.0,5,US$,681.2,A
317,T568.113,13443,2026-01-01,5.0,5,US$,17.5,C
371,T593.92,13443,2026-01-01,104.0,5,US$,1092.0,A
419,T631.105,13443,2026-01-01,5.0,5,US$,52.5,C
485,T668.82,13443,2026-01-01,5.0,5,US$,26.0,C
2159,T73618,13773,2025-11-01,15.0,4,US$,17.7,C
2160,T73619,13773,2025-11-01,15.0,4,US$,17.7,C
2161,T73620,13773,2025-11-01,15.0,4,US$,46.35,C
2162,T73621,13773,2025-11-01,15.0,4,US$,46.35,C
2163,T73622,13773,2025-11-01,15.0,4,US$,45.0,C
2164,T73623,13773,2025-11-01,15.0,4,US$,43.5,C
2165,T73624,13773,2025-11-01,15.0,4,US$,44.1,C
2166,T73625,13773,2025-11-01,15.0,4,US$,52.5,C
2167,T73626,13773,2025-11-01,15.0,4,US$,51.0,C
2168,T73627,13773,2025-11-01,15.0,4,US$,51.0,C
2169,T73628,13773,2025-11-01,15.0,4,US$,42.0,C
2170,T73629,13773,2025-11-01,15.0,4,US$,41.85,C
