COMPONENT,COD_FORNE,MES,LEAD_TIME,QUANT_TARGET,QUANT_REALIZADA,QUANT_PREDITA,CLASSE_ABC,MOEDA,PRECO_UNIT,PRECO_TARGET,PRECO_REALIZADO,PRECO_PREDITO
T0911,2880,2023-12-01,6,3000.0,2200.0,516.0,A,US$,6.51,19530.0,14322.0,3359.16
T0911,2880,2024-01-01,6,1000.0,0.0,1379.0,A,US$,6.51,6510.0,0.0,8977.289999999999
T0911,2880,2024-02-01,6,3620.0,0.0,2400.0,A,US$,6.51,23566.2,0.0,15624.0
T0911,2880,2024-03-01,5,3620.0,2500.0,2129.0,A,US$,6.51,23566.2,16275.0,13859.789999999999
T0911,2880,2024-04-01,5,1000.0,2000.0,1481.0,A,US$,6.51,6510.0,13020.0,9641.31
T0911,2880,2024-05-01,5,1000.0,0.0,1161.0,A,US$,6.51,6510.0,0.0,7558.11
T0911,2880,2024-06-01,4,1000.0,3000.0,1467.0,A,US$,6.51,6510.0,19530.0,9550.17
T0911,2880,2024-07-01,3,1000.0,1000.0,753.0,A,US$,6.51,6510.0,6510.0,4902.03
T0911,2880,2024-08-01,4,2000.0,3620.0,721.0,A,US$,6.51,13020.0,23566.2,4693.71
T0911,2880,2024-09-01,4,0.0,1000.0,749.0,A,US$,6.51,0.0,6510.0,4875.99
T0911,2880,2024-10-01,4,0.0,1000.0,673.0,A,US$,6.51,0.0,6510.0,4381.23
T0911,2880,2024-11-01,5,250.0,324.0,706.0,A,US$,6.509999999999999,1627.4999999999998,2109.24,4596.0599999999995
T0911,2880,2024-12-01,3,250.0,2000.0,1029.0,A,US$,6.51,1627.5,13020.0,6698.79
T0911,2880,2025-01-01,3,250.0,0.0,463.0,A,US$,6.51,1627.5,0.0,3014.13
T0911,2880,2025-02-01,3,500.0,0.0,261.0,A,US$,6.51,3255.0,0.0,1699.11
T0911,2880,2025-03-01,5,1920.0,250.0,1630.0,A,US$,6.226,11953.92,1556.5,10148.38
T0911,2880,2025-04-01,5,2600.0,250.0,2145.0,A,US$,6.23,16198.000000000002,1557.5,13363.35
T0911,2880,2025-05-01,4,2600.0,500.0,1197.0,A,US$,6.23,16198.000000000002,3115.0,7457.31
T0911,2880,2025-06-01,4,0.0,940.0,1807.0,A,US$,6.23,0.0,5856.200000000001,11257.61
T0911,2880,2025-07-01,4,0.0,0.0,1228.0,A,US$,6.23,0.0,0.0,7650.4400000000005
T0911,2880,2025-08-01,4,nan,1920.0,1419.0,A,US$,6.23,nan,11961.6,8840.37
T0911,2880,2025-09-01,4,nan,2600.0,176.0,A,US$,6.23,nan,16198.000000000002,1096.48
T0911,2880,2025-10-01,4,nan,0.0,740.0,A,US$,6.23,nan,0.0,4610.200000000001
T0911L,2880,2023-12-01,4,0.0,0.0,426.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-01-01,4,100.0,0.0,319.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-02-01,4,880.0,0.0,319.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-03-01,4,500.0,0.0,319.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-04-01,4,0.0,0.0,314.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-05-01,4,1350.0,100.0,314.0,A,US$,9.49,12811.5,949.0,2979.86
T0911L,2880,2024-06-01,7,0.0,880.0,362.0,A,US$,9.49,0.0,8351.2,3435.38
