Component,Description,Group_code,Group_name,Supp_Cod,Supplier,ABC,Stock,Obs,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,Final_order,Final_order_baseline,Transit_2025-12,Transit_2026-01,Transit_2026-02,Transit_2026-03,NewProduct,IsException,Participacao,Participacao_Acumulada,New_ABC,check_abc,Venda_mensal,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Flag,Origem_Sugest_o,Cobertura,Nova_cobertura,Alcance_-_Estoque_total_+_Novo_pedido,Check_Suggestion,Min_Order_Value_Warning,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Alerta_(Diferen_a:_Modelo_-_Baseline),Model_vs_Demand_Ratio,Alerta_(Model_vs_Demand_Ratio),Sales-M6,Sales-M7,Sales-M8,Sales-M9,Sales-M10,Sales-M11,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,Estoque_de_Seguran_a,ROP,Order_Up_To,Service_Level,Venda_Perdida_Projetada_(Unid),Venda_Perdida_Projetada_($),Alerta_Ruptura
T7448,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,4963,,10090,4963,1552,18464,27031,0,<NA>,10701,70.62,1491,65,107,172,4963,0,False,I,2.3,US$,10.0,0.0,0,0,3860,0,6230,0,False,False,3.92,3.92,A,True,2253,2,8,Não Comprar,Flag: Não Comprar,8.2,8.0,8,False,True,0,0,[Model == Baseline],🟢,0.0,🟢,3094,1756,3393,1784,3049,1919,2499.17,755.7,0.3,MÉDIO,0.95,1.64,95% de chance de não faltar,1809.48,14328.57,2967.54,16138.05,21552.92,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T7248,SENSOR TPS,TC05,TPS,4863,ZHITESEN,A,1003,,10230,1003,198,12038,18653,3,<NA>,6801,24.69,558,65,107,172,1003,0,False,I,2.3,US$,10.0,0.0,0,0,0,0,8240,0,False,False,2.71,6.63,A,True,1554,1,8,Não Comprar,Flag: Não Comprar,7.75,8.0,8,False,True,0,0,[Model == Baseline],🟢,0.0,🟢,1286,2337,1480,1221,2232,876,1572.0,586.29,0.37,MÉDIO,0.95,1.64,95% de chance de não faltar,1403.84,9012.8,2302.29,10416.64,13822.64,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T547.50,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,5299,,3700,5298,0,14297,18062,0,<NA>,2,0.0,519,65,127,192,5299,0,False,I,3.63,US$,10.0,0.0,0,0,0,0,0,1700,False,True,2.62,9.25,A,True,1505,4,9,Não Comprar,Flag: Não Comprar,9.5,9.0,9,False,True,0,0,[Model == Baseline],🟢,0.0,🟢,1251,1354,1336,1500,1313,971,1287.5,175.55,0.14,BAIXO,0.98,2.05,99% de chance de não faltar,444.11,8240.0,910.43,8684.11,11473.69,DEMANDA PREVISÍVEL,0.0,0.0,🟢 Estoque Saudável
T7328,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,5001,,3660,5001,415,13247,14532,2,<NA>,801,15.55,712,65,107,172,5001,0,False,I,1.3,US$,10.0,0.0,0,0,690,0,0,1010,False,False,2.11,11.36,A,True,1211,4,11,Não Comprar,Flag: Não Comprar,10.94,11.0,11,False,False,0,0,[Model == Baseline],🟢,0.0,🟢,1379,1012,1360,1071,1581,662,1177.5,329.0,0.28,MÉDIO,0.95,1.64,95% de chance de não faltar,787.77,6751.0,1291.94,7538.77,10090.02,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T573.89,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,2194,,5220,2131,290,9255,14532,12,<NA>,2,5.83,546,65,127,192,2194,0,False,I,5.1,US$,10.0,0.0,0,0,1400,0,0,1050,False,False,2.11,13.47,A,True,1211,2,8,Não Comprar,Flag: Não Comprar,7.64,8.0,8,False,True,0,0,[Model == Baseline],🟢,0.0,🟢,995,1157,1155,1565,1711,627,1201.67,392.06,0.33,MÉDIO,0.95,1.64,95% de chance de não faltar,991.84,7690.69,1626.62,8682.53,11286.15,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T7325,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,4831,,4250,4831,439,13473,14292,0,<NA>,801,27.17,339,65,107,172,4831,0,False,I,1.3,US$,10.0,0.0,0,0,1400,0,0,1340,False,False,2.07,15.54,A,True,1191,4,11,Não Comprar,Flag: Não Comprar,11.31,11.0,11,False,False,0,0,[Model == Baseline],🟢,0.0,🟢,1320,1069,1488,1092,1190,281,1073.33,418.23,0.39,MÉDIO,0.95,1.64,95% de chance de não faltar,1001.43,6153.76,1642.34,7155.19,9480.74,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T73019,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,1775,,5720,1774,62,9207,11766,16,<NA>,5901,10.5,282,65,107,172,1775,0,False,I,2.62,US$,10.0,0.0,0,0,1500,0,0,2790,False,False,1.71,17.25,A,True,980,2,9,Não Comprar,Flag: Não Comprar,9.39,9.0,9,False,False,0,0,[Model == Baseline],🟢,0.0,🟢,934,976,1002,1177,916,229,872.33,328.62,0.38,MÉDIO,0.95,1.64,95% de chance de não faltar,786.86,5001.36,1290.45,5788.22,7678.27,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T7275,SENSOR TPS,TC05,TPS,4863,ZHITESEN,A,701,,1950,901,36,3516,11630,0,<NA>,5101,4.65,502,65,107,172,701,0,False,I,2.5,US$,10.0,2225.0,890,3270,0,0,1950,0,False,False,1.69,18.94,A,True,969,1,4,Comprar,Modelo ML (100%),3.63,5.0,5,True,True,-2380,2380,[Baseline > Model],🔴,0.92,🟢,1095,1282,922,391,647,639,829.33,330.36,0.4,MÉDIO,0.95,1.64,95% de chance de não faltar,791.03,4754.83,1297.28,5545.86,7342.74,MÉDIA VOLATILIDADE,1149.600000000005,2874.0,🔴 Risco de Ruptura
T0911,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,3432,,2600,3431,671,8792,11601,10,<NA>,4801,55.29,597,65,127,192,3432,0,False,I,6.23,US$,10.0,0.0,0,0,0,0,0,0,False,False,1.68,20.62,A,True,967,4,9,Não Comprar,Flag: Não Comprar,9.09,9.0,9,False,True,0,0,[Model == Baseline],🟢,0.0,🟢,705,992,935,1563,1124,320,939.83,415.77,0.44,MÉDIO,0.95,1.64,95% de chance de não faltar,1051.82,6014.91,1724.99,7066.73,9103.03,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T70020,SENSOR DETONACAO,TC15,SENSOR DE DETONACAO,7908,FONAN AUTOMOTIVE,A,1486,,4580,1486,43,7509,11419,0,<NA>,5001,23.71,634,65,92,157,1486,0,False,I,3.4,US$,10.0,0.0,0,0,2700,0,1880,0,False,False,1.66,22.28,A,True,952,2,8,Não Comprar,Flag: Não Comprar,7.89,8.0,8,False,False,0,0,[Model == Baseline],🟢,0.0,🟢,971,851,1153,1084,735,676,911.67,190.73,0.21,MÉDIO,0.95,1.64,95% de chance de não faltar,436.32,4771.07,715.57,5207.39,7182.68,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T70316,SENSOR DE ROTACAO,TC29,SENSOR ROTACAO,6523,ABORN,A,2880,,3030,2880,134,8656,10916,1,<NA>,4601,9.02,351,65,107,172,2880,0,False,I,2.7,US$,10.0,0.0,0,0,560,0,0,890,False,False,1.58,23.86,A,True,910,3,10,Não Comprar,Flag: Não Comprar,9.51,10.0,10,False,False,0,0,[Model == Baseline],🟢,0.0,🟢,529,992,1011,839,1454,427,875.33,371.25,0.42,MÉDIO,0.95,1.64,95% de chance de não faltar,888.94,5018.56,1457.85,5907.5,7804.05,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T70577,SENSOR DE FASE,TC36,SENSOR DE FASE,6523,ABORN,A,1326,,4880,1326,40,7492,10215,0,<NA>,4001,3.09,323,65,107,172,1326,0,False,I,3.5,US$,10.0,0.0,0,0,810,0,0,2960,False,False,1.48,25.34,A,True,851,2,9,Não Comprar,Flag: Não Comprar,8.8,9.0,9,False,False,0,0,[Model == Baseline],🟢,0.0,🟢,826,650,880,964,1049,405,795.67,234.26,0.29,MÉDIO,0.95,1.64,95% de chance de não faltar,560.92,4561.84,919.91,5122.76,6846.71,MÉDIA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
T7439,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,2770,,3220,2770,506,8254,9918,0,<NA>,3001,95.89,766,65,107,172,2770,0,False,I,2.3,US$,10.0,0.0,0,0,1000,0,2220,0,False,False,1.44,26.78,A,True,826,3,10,Não Comprar,Flag: Não Comprar,9.99,10.0,10,False,True,0,0,[Model == Baseline],🟢,0.0,🟢,755,469,1077,538,381,165,564.17,316.87,0.56,ALTO,0.9,1.28,90% de chance de não faltar,758.73,3234.57,971.17,3993.3,5215.67,ALTA VOLATILIDADE,0.0,0.0,🟢 Estoque Saudável
