Alerta,Data_SI,SI,Grupo,MTE,MTE_X,Qtd,DT._Entrega_PO,Entrega_Prevista,Fornecedor,Cod_Prod._Forn.,Proforma,PO,Invoice,C_digo_Embarque,Conf._PO,DT._Prod._Prev.,DT._Prod._Real,Data_Embarque,Data_Prevista_Chegada_Porto,Status_Pedido,OBS_1,OBS_2,year_month
Em Progresso,2025-09-03,3957,TC02,T0911,X000929,2100,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
Em Progresso,2025-09-24,3998,TC02,T0911,X000929,500,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
Em Progresso,2025-08-05,3903,TC02,T0911L,X001080,350,2025-12-14,2025-12-14,TCI GLOBAL CORP,<NA>,PI-250808-G158,035-117358-P,SMT-25124,035-002708-E,nan,2025-10-08,NaT,2025-10-22,2025-11-29,Transito,NaT,NaT,2025-12-01
Em Progresso,2025-11-07,4073,TC02,T0911L,X001080,600,2026-03-21,NaT,TCI GLOBAL CORP,<NA>,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-08-05,3903,TC02,T0912L,X000923,100,2025-12-14,2025-12-14,TCI GLOBAL CORP,<NA>,PI-250808-G158,035-117358-P,SMT-25124,035-002708-E,nan,2025-10-08,NaT,2025-10-22,2025-11-29,Transito,NaT,NaT,2025-12-01
Em Progresso,2025-09-03,3957,TC02,T0912L,X000923,180,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
Em Progresso,2025-09-24,3998,TC02,T0912L,X000923,1800,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
Em Progresso,2025-11-07,4073,TC02,T0912L,X000923,810,2026-03-21,NaT,TCI GLOBAL CORP,<NA>,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-08-05,3903,TC02,T0914L,X001129,460,2025-12-14,2025-12-14,TCI GLOBAL CORP,<NA>,PI-250808-G158,035-117358-P,SMT-25124,035-002708-E,nan,2025-10-08,NaT,2025-10-22,2025-11-29,Transito,NaT,NaT,2025-12-01
Em Progresso,2025-09-03,3957,TC02,T0914L,X001129,450,2026-01-08,2025-12-14,TCI GLOBAL CORP,<NA>,PI-250808-G158,035-117358-P,SMT-25124,035-002708-E,nan,2025-11-22,NaT,2025-10-22,2025-11-29,Transito,NaT,NaT,2026-01-01
Em Progresso,2025-09-24,3998,TC02,T0914L,X001129,110,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
Em Progresso,2025-11-07,4073,TC02,T0914L,X001129,1000,2026-03-21,NaT,TCI GLOBAL CORP,<NA>,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-11-07,4073,TUB2,T0922L,X001270,850,2026-03-21,NaT,TCI GLOBAL CORP,<NA>,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-09-03,3957,TC02,T0923,X001079,420,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
Em Progresso,2025-09-24,3998,TC02,T0923,X001079,70,2025-01-14,NaT,TCI GLOBAL CORP,<NA>,PI-250908-G178,035-117437-P,<NA>,<NA>,nan,2025-11-08,NaT,NaT,NaT,Negociação,NaT,NaT,2025-01-01
