PRODUTO,DESCRICAO,QUANT_BO,DT_ENTREGA
R79517,BOBINA DE IGNICAO,2.0,NaT
R79525,BOBINA DE IGNICAO,3.0,NaT
R7954,BOBINA DE IGNICAO,4.0,NaT
R79564,BOBINA DE IGNICAO,20.0,NaT
R79574,BOBINA DE IGNICAO,5.0,NaT
R79574,BOBINA DE IGNICAO,35.0,NaT
R7960,BOBINA DE IGNICAO,1.0,NaT
R7961,BOBINA DE IGNICAO,20.0,NaT
R7962,BOBINA DE IGNICAO,2.0,NaT
R7976,BOBINA DE IGNICAO,4.0,NaT
R7979,BOBINA DE IGNICAO,1.0,NaT
R7986,BOBINA DE IGNICAO,12.0,NaT
R7992,BOBINA DE IGNICAO,10.0,NaT
R7994,BOBINA DE IGNICAO,40.0,NaT
R7995,BOBINA DE IGNICAO,3.0,NaT
R7995,BOBINA DE IGNICAO,3.0,NaT
R7995,BOBINA DE IGNICAO,5.0,NaT
R7995,BOBINA DE IGNICAO,400.0,NaT
R7506,CORPO DE BORBOLETA,5.0,NaT
R814,INTERRUPTOR DE TEMPERATURA,50.0,NaT
R814,INTERRUPTOR DE TEMPERATURA,30.0,NaT
R814,INTERRUPTOR DE TEMPERATURA,30.0,NaT
R832AR,INTERRUPTOR DE TEMPERATURA,10.0,NaT
R850,INTERRUPTOR DE TEMPERATURA,13.0,NaT
R871,INTERRUPTOR DE TEMPERATURA,50.0,NaT
R872,INTERRUPTOR DE TEMPERATURA,100.0,NaT
R872,INTERRUPTOR DE TEMPERATURA,100.0,NaT
R872,INTERRUPTOR DE TEMPERATURA,5.0,NaT
R872,INTERRUPTOR DE TEMPERATURA,5.0,NaT
R872,INTERRUPTOR DE TEMPERATURA,50.0,NaT
