index,PRODUTO,COD_FORNE,FORNEC_NOM,COD_FABRI,MOEDA,CUSTO_PRODUTO,PTAX,COD_PROD_FOR
11363,T036L,2880,TCI GLOBAL CORP,7080,US$,14.41,0.0,2500AL-S       
11364,T036L,7080,SMART,7080,US$,13.1,0.0,2500AL-S       
11365,T0911,2880,TCI GLOBAL CORP,7080,US$,6.23,0.0,1958-O         
11366,T0911,3460,MTE JAGUA,,<NA>,0.0,0.0,T0911          
11367,T0911,4087,MTE - SBC,,<NA>,0.0,0.0,T0911          
11368,T0911,7080,SMART,7080,US$,5.66,0.0,1958-O         
11369,T0911L,2880,TCI GLOBAL CORP,7080,US$,9.07,0.0,1958AL-O       
11370,T0911L,3460,MTE JAGUA,,<NA>,0.0,0.0,T0911L         
11371,T0911L,7080,SMART,7080,US$,8.25,0.0,1958AL-O       
11372,T0912L,2880,TCI GLOBAL CORP,7080,US$,7.28,0.0,1883-AL        
11373,T0912L,3460,MTE JAGUA,,<NA>,0.0,0.0,T0912L         
11374,T0912L,4087,MTE - SBC,,<NA>,0.0,0.0,T0912L         
11375,T0912L,7080,SMART,7080,US$,6.62,0.0,1883-AL        
11376,T0913L,2880,TCI GLOBAL CORP,7080,US$,1.46,0.0,1864AL         
11377,T0913L,3460,MTE JAGUA,,<NA>,0.0,0.0,T0913L         
11378,T0913L,4087,MTE - SBC,,<NA>,0.0,0.0,T0913L         
11379,T0913L,7080,SMART,7080,US$,1.33,0.0,1864AL         
11380,T0914L,2880,TCI GLOBAL CORP,7080,US$,1.84,0.0,1946ALN        
11381,T0914L,4087,MTE - SBC,,<NA>,0.0,0.0,T0914L         
11382,T0914L,7080,SMART,7080,US$,1.67,0.0,1946ALN        
11383,T0922,2880,TCI GLOBAL CORP,7080,US$,1.82,0.0,1987           
11384,T0922,3460,MTE JAGUA,,<NA>,0.0,0.0,T0922          
11385,T0922,4087,MTE - SBC,,<NA>,0.0,0.0,T0922          
11386,T0922,7080,SMART,7080,US$,1.65,0.0,1987           
11387,T0922,8461,NINGBO YINZHOU BRAVO,8461,US$,2.1,0.0,CF01277        
11388,T0922,9246,BRAVO-WINTOM,9246,US$,1.6,0.0,CF01277        
11389,T0922L,2880,TCI GLOBAL CORP,7080,US$,4.12,0.0,1987AL-CO      
11390,T0922L,3460,MTE JAGUA,,<NA>,0.0,0.0,T0922L         
11391,T0922L,4087,MTE - SBC,,<NA>,0.0,0.0,T0922L         
11392,T0922L,7080,SMART,7080,US$,3.75,0.0,1987AL-CO      
