Filial,Emissao,UnidReq,CodComp,Produto,Local,Quant,CC,DatPRF,DatEmbarque,Forn,Fabr,Moeda,Preco_Unit,Min_Order_Value_Warning
1,2025-11-29,1,35,T7448,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7248,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7275,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.5,False
1,2025-11-29,1,35,T7439,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7441,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7427,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,5.0,False
1,2025-11-29,1,35,T7447,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7444,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7489,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7422,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,12.0,False
1,2025-11-29,1,35,T7272,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.9,False
1,2025-11-29,1,35,T7446,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7418,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,8.5,False
1,2025-11-29,1,35,T7429,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,3.35,False
1,2025-11-29,1,35,T7449,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7464,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,10.5,False
1,2025-11-29,1,35,T7451,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7450,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7425,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.4,False
1,2025-11-29,1,35,T7279,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,4.0,False
1,2025-11-29,1,35,T7435,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,13.0,False
1,2025-11-29,1,35,T7453,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7426,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,11.0,False
1,2025-11-29,1,35,T7265,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.1,False
1,2025-11-29,1,35,T7274,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.5,False
1,2025-11-29,1,35,T7270,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.2,False
1,2025-11-29,1,35,T7478,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.45,False
1,2025-11-29,1,35,T7497,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,10.5,False
1,2025-11-29,1,35,T7443,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,2.3,False
1,2025-11-29,1,35,T7233,1,0,20,2026-03-16,2026-02-12,4863,0 days 00:00:00.000004863,US$,4.0,False
