index,Component,Description,Group_code,Group_name,Supp_Cod,Supplier,ABC,Participacao,New_ABC,check_abc,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Alcance_-_Estoque_total_+_Novo_pedido_(Model),Alcance_-_Estoque_total_+_Novo_pedido_(Baseline),Flag,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Venda_mensal,Cobertura,Final_order,Final_order_baseline,Final_order_ruptura,Nova_cobertura_Ruptura,Unfulfilled_12M,KanBan_Min,KanBan_Max,Alert,Obs,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,Transit_2025-12,Transit_2026-01,Transit_2026-02,Transit_2026-03,Ruptura_2025-12,Ruptura_2026-01,Ruptura_2026-02,Ruptura_2026-03,Ruptura_Flag_2025-12,Ruptura_Flag_2026-01,Ruptura_Flag_2026-02,Ruptura_Flag_2026-03,NewProduct,IsException,Check_Suggestion,Min_Order_Value_Warning,Model_Suggestion,Participacao_Acumulada,Origem_Sugest_o,Nova_cobertura,Alcance_-_Estoque_total_+_Novo_pedido,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Alert_Diferen_a,Model_vs_Demand_Ratio,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,Estoque_de_Seguran_a,ROP,Order_Up_To,Service_Level
269,T7448,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,3.92,A,True,2,8,8,8,Não Comprar,4963,10090,4963,1552,18464,27031,2253,8.2,0,0,0,8,0,0,10701,0,,70.62,1491,65,107,172,4963,0,False,I,2.3,US$,10.0,0.0,3860,0,6230,0,297,149,127,95,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,3.92,Flag: Não Comprar,8.0,8.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
212,T7248,SENSOR TPS,TC05,TPS,4863,ZHITESEN,A,2.71,A,True,1,8,8,8,Não Comprar,1003,10230,1003,198,12038,18653,1554,7.75,0,0,0,8,3,0,6801,0,,24.69,558,65,107,172,1003,0,False,I,2.3,US$,10.0,0.0,0,0,8240,0,232,116,130,98,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,6.63,Flag: Não Comprar,8.0,8.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
434,T547.50,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,2.62,A,True,4,9,9,9,Não Comprar,5299,3700,5298,0,14297,18062,1505,9.5,0,0,0,9,0,0,2,0,,0.0,519,65,127,192,5299,0,False,I,3.63,US$,10.0,0.0,0,0,0,1700,285,142,95,80,<NA>,<NA>,<NA>,<NA>,False,True,False,False,0.0,9.25,Flag: Não Comprar,9.0,9.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
244,T7328,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,2.11,A,True,4,11,11,11,Não Comprar,5001,3660,5001,415,13247,14532,1211,10.94,0,0,0,11,2,0,801,0,,15.55,712,65,107,172,5001,0,False,I,1.3,US$,10.0,0.0,690,0,0,1010,345,173,115,93,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,11.36,Flag: Não Comprar,11.0,11.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
495,T573.89,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,2.11,A,True,2,8,8,8,Não Comprar,2194,5220,2131,290,9255,14532,1211,7.64,0,0,0,8,12,0,2,0,,5.83,546,65,127,192,2194,0,False,I,5.1,US$,10.0,0.0,1400,0,0,1050,264,132,88,72,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,13.47,Flag: Não Comprar,8.0,8.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
242,T7325,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,2.07,A,True,4,11,11,11,Não Comprar,4831,4250,4831,439,13473,14292,1191,11.31,0,0,0,11,0,0,801,0,,27.17,339,65,107,172,4831,0,False,I,1.3,US$,10.0,0.0,1400,0,0,1340,375,187,125,102,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,15.54,Flag: Não Comprar,11.0,11.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
231,T73019,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,1.71,A,True,2,9,9,9,Não Comprar,1775,5720,1774,62,9207,11766,980,9.39,0,0,0,9,16,0,5901,0,,10.5,282,65,107,172,1775,0,False,I,2.62,US$,10.0,0.0,1500,0,0,2790,328,164,109,103,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,17.25,Flag: Não Comprar,9.0,9.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
222,T7275,SENSOR TPS,TC05,TPS,4863,ZHITESEN,A,1.69,A,True,1,4,4,7,Comprar,701,1950,901,36,3516,11630,969,3.63,0,3270,3270,7,0,0,5101,0,,4.65,502,65,107,172,701,0,False,I,2.5,US$,10.0,0.0,0,0,1950,0,109,54,56,42,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,18.94,Flag: Não Comprar,4.0,4.0,-3270.0,3270.0,[Baseline > Model],🔴,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
2,T0911,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,1.68,A,True,4,9,9,9,Não Comprar,3432,2600,3431,671,8792,11601,967,9.09,0,0,0,9,10,0,4801,0,,55.29,597,65,127,192,3432,0,False,I,6.23,US$,10.0,0.0,0,0,0,0,273,136,91,68,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,20.62,Flag: Não Comprar,9.0,9.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
75,T70020,SENSOR DETONACAO,TC15,SENSOR DE DETONACAO,7908,FONAN AUTOMOTIVE,A,1.66,A,True,2,8,8,8,Não Comprar,1486,4580,1486,43,7509,11419,952,7.89,0,0,0,8,0,0,5001,0,,23.71,634,65,92,157,1486,0,False,I,3.4,US$,10.0,0.0,2700,0,1880,0,322,161,127,95,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,22.28,Flag: Não Comprar,8.0,8.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
122,T70316,SENSOR DE ROTACAO,TC29,SENSOR ROTACAO,6523,ABORN,A,1.58,A,True,3,10,10,10,Não Comprar,2880,3030,2880,134,8656,10916,910,9.51,0,0,0,10,1,0,4601,0,,9.02,351,65,107,172,2880,0,False,I,2.7,US$,10.0,0.0,560,0,0,890,304,152,101,83,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,23.86,Flag: Não Comprar,10.0,10.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
612,T70577,SENSOR DE FASE,TC36,SENSOR DE FASE,6523,ABORN,A,1.48,A,True,2,9,9,9,Não Comprar,1326,4880,1326,40,7492,10215,851,8.8,0,0,0,9,0,0,4001,0,,3.09,323,65,107,172,1326,0,False,I,3.5,US$,10.0,0.0,810,0,0,2960,293,146,98,99,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,25.34,Flag: Não Comprar,9.0,9.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
261,T7439,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,1.44,A,True,3,10,10,10,Não Comprar,2770,3220,2770,506,8254,9918,826,9.99,0,0,0,10,0,0,3001,0,,95.89,766,65,107,172,2770,0,False,I,2.3,US$,10.0,0.0,1000,0,2220,0,336,168,139,104,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,26.78,Flag: Não Comprar,10.0,10.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
263,T7441,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,1.36,A,True,1,7,7,7,Comprar,836,4490,836,824,5338,9392,783,6.82,0,150,150,7,0,0,3601,0,,85.5,509,65,107,172,836,0,False,I,2.3,US$,10.0,0.0,2190,0,1080,0,288,144,110,82,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,28.14,Flag: Não Comprar,7.0,7.0,-150.0,150.0,[Baseline > Model],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
254,T7427,VALV. M.L. - IACV,TC04,IACV,4863,ZHITESEN,A,1.33,A,True,0,7,7,7,Comprar,11,5430,11,354,5098,9173,764,6.67,0,250,250,7,0,0,3901,0,,18.52,389,65,107,172,11,0,False,I,5.0,US$,10.0,0.0,2090,0,1500,0,282,141,114,85,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,29.47,Flag: Não Comprar,7.0,7.0,-250.0,250.0,[Baseline > Model],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
111,T70305,SENSOR DE ROTACAO,TC29,SENSOR ROTACAO,6523,ABORN,A,1.29,A,True,4,11,11,11,Não Comprar,2657,2570,2653,119,7761,8869,739,10.5,0,0,0,11,0,0,3501,0,,13.87,287,65,107,172,2657,0,False,I,3.12,US$,10.0,0.0,530,0,0,970,337,168,112,94,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,30.76,Flag: Não Comprar,11.0,11.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
268,T7447,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,1.15,A,True,1,9,9,9,Não Comprar,500,6560,500,1580,5980,7930,661,9.05,0,0,0,9,0,0,3801,0,,99.16,1182,65,107,172,500,0,False,I,2.3,US$,10.0,0.0,4500,0,600,0,476,238,168,126,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,31.91,Flag: Não Comprar,9.0,9.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
3,T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,1.12,A,True,2,9,9,9,Não Comprar,1513,2890,1513,21,5895,7720,643,9.17,0,0,0,9,0,0,3001,0,,6.61,540,65,127,192,1513,0,False,I,7.28,US$,10.0,0.0,100,0,0,810,280,140,93,79,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,33.03,Flag: Não Comprar,9.0,9.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
91,T7004,SENSOR DETONACAO,TC15,SENSOR DE DETONACAO,7909,FLY AUTO PARTS CO.,A,1.1,A,True,5,11,11,11,Não Comprar,2913,1240,2913,0,7066,7601,633,11.16,0,0,0,11,0,0,3001,0,,0.13,490,65,92,157,2913,0,False,I,2.8,US$,10.0,0.0,0,0,1240,0,335,167,131,98,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,34.13,Flag: Não Comprar,11.0,11.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
35,T483.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,1.05,A,True,0,7,7,7,Não Comprar,25,4250,25,62,4238,7227,602,7.04,0,0,0,7,5,0,301,0,,18.53,511,65,127,192,25,0,False,I,9.47,US$,10.0,0.0,200,0,0,2550,221,111,74,87,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,35.18,Flag: Não Comprar,7.0,7.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
266,T7444,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,1.03,A,True,3,10,10,10,Não Comprar,1951,2160,1951,220,5842,7109,592,9.87,0,0,0,10,0,0,3001,0,,38.23,364,65,107,172,1951,0,False,I,2.3,US$,10.0,0.0,730,0,770,0,333,167,124,93,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,36.21,Flag: Não Comprar,10.0,10.0,0.0,0.0,[Model == Baseline],🟢,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
177,T71061,SENSOR MAP,TC08,MAP,4994,SKK,A,0.97,A,True,0,6,6,7,Comprar,58,3580,58,481,3215,6703,559,5.75,0,700,700,7,0,0,2201,0,,100.0,1249,65,88,153,58,0,False,I,4.0,US$,10.0,0.0,2500,0,1080,0,307,153,122,91,<NA>,<NA>,<NA>,<NA>,False,False,False,False,0.0,37.18,Flag: Não Comprar,6.0,6.0,-700.0,700.0,[Baseline > Model],🟡,0.0,0.0,0.0,0.0,ALTO,0.9,1.28,90% de chance de não faltar,0.0,0.0,0.0,0.0,0.0,ALTA VOLATILIDADE
