COD_MTE_COMP,MONTH,QTDE_PEDIDA,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO
K20012,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2020-02-01,11.0,0.0,11.0,944.8,0.0,944.8
K20012,2020-03-01,1.0,0.0,1.0,101.63,0.0,101.63
K20012,2020-04-01,3.0,0.0,3.0,304.89,0.0,304.89
K20012,2020-05-01,7.0,0.0,7.0,557.4300000000001,0.0,557.4300000000001
K20012,2020-06-01,2.0,0.0,2.0,203.26,0.0,203.26
K20012,2020-07-01,7.0,0.0,7.0,630.16,0.0,630.16
K20012,2020-08-01,10.0,0.0,10.0,1067.1,0.0,1067.1
K20012,2020-09-01,3.0,1.0,2.0,207.68,103.51,311.19
K20012,2020-10-01,18.0,5.0,13.0,1153.29,542.21,1695.5
K20012,2020-11-01,6.0,6.0,0.0,0.0,627.46,627.46
K20012,2020-12-01,22.0,5.0,17.0,1355.5700000000002,527.15,1931.95
K20012,2021-01-01,4.0,0.0,4.0,417.37,0.0,417.37
K20012,2021-02-01,6.0,5.0,1.0,96.5,509.88,606.38
K20012,2021-03-01,6.0,0.0,6.0,629.4,0.0,629.4
K20012,2021-04-01,14.0,0.0,14.0,1175.23,0.0,1175.23
K20012,2021-05-01,2.0,0.0,2.0,230.15,0.0,230.15
K20012,2021-06-01,3.0,0.0,3.0,358.56,0.0,358.56
K20012,2021-07-01,2.0,0.0,2.0,228.44,0.0,228.44
K20012,2021-08-01,16.0,0.0,16.0,1407.41,0.0,1407.41
K20012,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2021-10-01,7.0,1.0,6.0,472.78,124.5,597.28
K20012,2021-11-01,16.0,0.0,16.0,1342.44,0.0,1342.44
K20012,2021-12-01,6.0,4.0,2.0,249.0,498.0,747.0
K20012,2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2022-03-01,8.0,0.0,8.0,1030.6799999999998,0.0,1030.6799999999998
K20012,2022-04-01,6.0,0.0,6.0,447.84,0.0,447.84
K20012,2022-05-01,12.0,0.0,12.0,963.1400000000001,0.0,963.1400000000001
K20012,2022-06-01,5.0,0.0,5.0,648.3199999999999,0.0,648.3199999999999
