index,component,origem,motivo
67469,T036L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67470,T0911,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67471,T0911L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67472,T0912L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67473,T0913L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67474,T0914L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67475,T0922,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67476,T0922L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67477,T0923,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67478,T0924,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67479,T0925,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67480,T0926,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67481,T0927,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67482,T0928L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67483,T0929,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67484,T0930L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67485,T0931,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67486,T0933L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67487,T0934L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67488,T0935L,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67489,T293.82,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67490,T3128,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67491,T3133,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67492,T3142,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67493,T3150,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67494,T3151,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67495,T3168,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67496,T3170,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67497,T3171,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
67498,T3173,df_produto_fornecedor,Sem correspondencia em produto_fornecedor_ativo
