Cod_component,origem,Motivo
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6815.41.040,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6815.41.050,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6820.40.024,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6821.40.030,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6821.40.072,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6824.40.072,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6868.40.060,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
CHN6884,df_estrutura_produto,Component não começa com T seguido de dígitos
CN68.4,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-135,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-141,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-157,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-163,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-135,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-141,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-135,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-141,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-136,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-143,df_estrutura_produto,Component não começa com T seguido de dígitos
TM-134,df_estrutura_produto,Component não começa com T seguido de dígitos
