Cod_component,origem,motivo
T3133,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3137,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3142,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3146,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3147,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3148,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3153,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3154,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3155,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3156,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3164,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3168,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3170,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3171,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3173,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3191,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T3192,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T326.83,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T334.82,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T335.82,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T337.82,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T339.82,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T340.82,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T369.87,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T376.88,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T377.88,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T4002,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T4031,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T4068,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
T4072,df_main_preprocessing,Supp_Cod (Codigo Fornecedor) nulo
