B1_COD_PP,DATA,QTD_VENDA_NACIONAL,RECEITA_VENDA_NACIONAL,QTD_VENDA_EXPORTACAO,RECEITA_VENDA_EXPORTACAO,NAO_ATENDIDOS_REPO,NAO_ATENDIDOS_EXPO
T0911,2023-12-11,51,5708,0,0,0,0.0
T0911,2023-12-12,25,2533,0,0,0,0.0
T0911,2023-12-13,17,1885,0,0,0,0.0
T0911,2023-12-14,41,4065,0,0,0,0.0
T0911,2023-12-15,79,7923,0,0,0,0.0
T0911,2023-12-18,13,1443,103,6333,0,0.0
T0911,2023-12-19,10,1077,0,0,0,0.0
T0911,2023-12-20,63,6722,53,3315,0,0.0
T0911,2023-12-21,24,2563,0,0,0,0.0
T0911,2024-01-02,7,871,0,0,0,0.0
T0911,2024-01-03,1,105,0,0,0,0.0
T0911,2024-01-04,35,3880,0,0,0,0.0
T0911,2024-01-05,7,749,0,0,0,0.0
T0911,2024-01-08,6,721,0,0,0,0.0
T0911,2024-01-09,11,1174,17,1016,0,0.0
T0911,2024-01-10,44,4575,0,0,0,0.0
T0911,2024-01-11,20,2210,0,0,0,0.0
T0911,2024-01-12,13,1428,0,0,0,0.0
T0911,2024-01-15,42,5110,0,0,0,0.0
T0911,2024-01-17,42,4542,0,0,0,0.0
T0911,2024-01-18,28,3034,0,0,0,0.0
T0911,2024-01-19,7,789,0,0,0,0.0
T0911,2024-01-22,32,3620,0,0,0,0.0
T0911,2024-01-23,54,5932,0,0,0,0.0
T0911,2024-01-24,30,3261,0,0,0,0.0
T0911,2024-01-25,16,1737,0,0,0,0.0
T0911,2024-01-26,15,1616,0,0,0,0.0
T0911,2024-01-29,31,3905,0,0,0,0.0
T0911,2024-01-30,29,3094,0,0,0,0.0
T0911,2024-01-31,37,3997,400,24657,0,0.0
