Classifica__o,Erro_XGBoost,Erro_Baseline,Redu__o_Absoluta,Redu__o_Percentual
GERAL,79263728.96384089,113293872.17564663,34030143.211805746,30.037055454373267
ABC-A,54363532.88003831,84814566.19724134,30451033.317203023,35.9030702891144
ABC-B,16828488.702645224,20179681.151120134,3351192.44847491,16.606766099913784
ABC-C,8071707.381157331,8299624.827285172,227917.44612784125,2.7461174555572487
XYZ-X,18879158.197443794,29664312.81395022,10785154.616506424,36.35733847653634
XYZ-Y,44316494.34146635,64593964.98327778,20277470.64181143,31.39220614040476
XYZ-Z,16068076.424930723,19035594.378418654,2967517.953487931,15.589310711791137
AX,16460600.133488238,26838514.69438023,10377914.560891993,38.66799142601228
AY,32081405.618237656,50577602.65681313,18496197.038575474,36.56993623062503
AZ,5821527.128312422,7398448.84604798,1576921.7177355578,21.314220731253688
BX,2148443.505354579,2538562.8993069986,390119.3939524195,15.367726127996201
BY,8488385.123415157,10110608.031185606,1622222.9077704493,16.04476113372008
BZ,6191660.073875487,7530510.220627526,1338850.146752039,17.779009755337285
CX,270114.55860097765,287235.22026298696,17120.661662009312,5.960502213598307
CY,3746703.5998135405,3905754.2952790405,159050.6954655,4.07221456960945
CZ,4054889.2227428146,4106635.311743146,51746.08900033124,1.2600604892370282
