DATA_PEDIDO,Component,consumption_predicted_month,base_date,classe_abc,classe_xyz,classe_abc_xyz,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,MULTIPLO_COMPRA,KANBAN_MIN,KANBAN_MAX,B1_ATIVO,DTA_CADASTRO,COD_FORNE,FORNEC_NOM,COD_FABRI,MOEDA,CUSTO_PRODUTO,forecast_horizon_months,forecast_month_str,base_month_str,consumption_rounded
2020-01-01,T0911,1516.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,1,2020-01-01,2019-12-01,1516.0
2020-01-01,T0911,1516.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,3460,MTE JAGUA,,None,0.0,1,2020-01-01,2019-12-01,1516.0
2020-01-01,T0911,1516.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,4087,MTE - SBC,,None,0.0,1,2020-01-01,2019-12-01,1516.0
2020-01-01,T0911,1516.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,1,2020-01-01,2019-12-01,1516.0
2020-02-01,T0911,1708.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,2,2020-02-01,2019-12-01,1708.0
2020-02-01,T0911,1708.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,3460,MTE JAGUA,,None,0.0,2,2020-02-01,2019-12-01,1708.0
2020-02-01,T0911,1708.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,4087,MTE - SBC,,None,0.0,2,2020-02-01,2019-12-01,1708.0
2020-02-01,T0911,1708.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,2,2020-02-01,2019-12-01,1708.0
2020-03-01,T0911,364.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,3,2020-03-01,2019-12-01,364.0
2020-03-01,T0911,364.0,2019-12-01,A,X,AX,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,3460,MTE JAGUA,,None,0.0,3,2020-03-01,2019-12-01,364.0
