PEDIDO,COD_FORNE,PRODUTO,DATA_SI,ENTREGA_EFET,QUANTIDADE,MOEDA,PRECO_TOTAL
020-115952-P,2880,T0911,2023-12-18,2024-05-24,2200,US$,14322.0
020-115910-P,2880,T0911,2024-03-11,2024-07-15,2500,US$,16275.0
035-116025-P,2880,T0911,2024-04-11,2024-09-02,2000,US$,13020.0
035-116182-P,2880,T0911,2024-06-10,2024-09-26,3000,US$,19530.0
035-116182-P,2880,T0911,2024-07-03,2024-09-26,1000,US$,6510.0
035-116334-P,2880,T0911,2024-08-01,2024-11-01,3620,US$,23566.2
035-116355-P,2880,T0911,2024-09-04,2024-12-18,1000,US$,6510.0
035-116442-P,2880,T0911,2024-10-02,2025-01-15,1000,US$,6510.0
035-116665-P,2880,T0911,2024-11-06,2025-03-17,324,US$,2018.52
035-116665-P,2880,T0911,2024-11-06,2025-03-17,324,US$,2109.24
035-116665-P,2880,T0911,2024-12-17,2025-03-17,2000,US$,13020.0
035-116665-P,2880,T0911,2024-12-17,2025-03-17,2000,US$,12460.0
035-116967-P,2880,T0911,2025-03-06,2025-07-23,250,US$,1556.5
035-117047-P,2880,T0911,2025-04-07,2025-08-20,250,US$,1557.5
035-117047-P,2880,T0911,2025-05-13,2025-08-20,500,US$,3115.0
035-117130-P,2880,T0911,2025-06-10,2025-09-29,940,US$,5856.200000000001
035-117284-P,2880,T0911,2025-08-05,2025-11-11,1920,US$,11961.6
035-117437-P,2880,T0911,2025-09-03,NaT,2100,US$,13083.0
035-117437-P,2880,T0911,2025-09-24,NaT,500,US$,3115.0
035-116192-P,2880,T0911L,2024-05-06,2024-08-30,100,US$,949.0
035-116253-P,2880,T0911L,2024-06-10,2024-12-18,880,US$,8351.2
035-116355-P,2880,T0911L,2024-06-10,2024-12-18,20,US$,189.8
035-116192-P,2880,T0911L,2024-06-10,2024-08-30,100,US$,949.0
035-116355-P,2880,T0911L,2024-06-10,2024-08-30,20,US$,189.8
035-116253-P,2880,T0911L,2024-06-10,2024-08-30,880,US$,8351.2
035-116355-P,2880,T0911L,2024-06-10,2024-11-06,20,US$,189.8
035-116253-P,2880,T0911L,2024-06-10,2024-11-06,880,US$,8351.2
035-116192-P,2880,T0911L,2024-06-10,2024-12-18,100,US$,949.0
035-116192-P,2880,T0911L,2024-06-10,2024-11-06,100,US$,949.0
035-116355-P,2880,T0911L,2024-07-03,2024-12-18,500,US$,4745.0
