Component,Supplier,Review_Period,Lead_Time,Calculated_Lead_Time
T9701.50.081,2102,35,43,63.285714285714285
T850,2102,35,43,63.285714285714285
T830,2102,35,43,63.285714285714285
T5072,2102,35,43,63.285714285714285
T4098,2102,35,43,63.285714285714285
T5043,2102,35,43,63.285714285714285
T5068,2102,35,43,63.285714285714285
T70307,2102,35,43,63.285714285714285
T0914L,2880,35,127,130.33839479392626
T571.87,2880,35,127,130.33839479392626
T622.105,2880,35,127,130.33839479392626
T570.82,2880,35,127,130.33839479392626
T624.97,2880,35,127,130.33839479392626
T0911L,2880,35,127,130.33839479392626
T0923,2880,35,127,130.33839479392626
T569.92,2880,35,127,130.33839479392626
T521.98,2880,35,127,130.33839479392626
T623.103,2880,35,127,130.33839479392626
T573.89,2880,35,127,130.33839479392626
T0908,2880,35,127,130.33839479392626
T0924,2880,35,127,130.33839479392626
T594.77/95,2880,35,127,130.33839479392626
T0926,2880,35,127,130.33839479392626
T617.83,2880,35,127,130.33839479392626
T619.75,2880,35,127,130.33839479392626
T0928L,2880,35,127,130.33839479392626
T589.95,2880,35,127,130.33839479392626
T0929,2880,35,127,130.33839479392626
T590.88,2880,35,127,130.33839479392626
T597.88,2880,35,127,130.33839479392626
