Component,Description,Group_code,Group_name,Supp_Cod,Supplier,Cod_X,ABC,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Lost_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,Order_sug,Final_order,Total_Stock_Sales_12M,Order_sug_Sales_12M,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,base_month,base_date
T0908,CARCAÇA PLASTICA P/VT563,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000928,D,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,65,127,192,0.0,0,False,I,nan,<NA>,10.0,nan,2025-11-01,2025-11-30
T0909,CARCAÇA PLASTICA P/VT562,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000927,D,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,65,127,192,0.0,0,False,I,nan,<NA>,10.0,nan,2025-11-01,2025-11-30
T0911,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000929,A,3432.0,2600,3431,671,8792.0,11496,0.0,10,nan,4801,10010.0,10010.0,76.47877522616562,87.07376478775227,55.79331941544885,597.0,65,127,192,3432.0,18201,False,I,6.226,US$,10.0,62322.26,2025-11-01,2025-11-30
T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000923,A,1513.0,2890,1513,21,5895.0,7418,0.0,0,nan,3001,3000.0,3000.0,79.46885953087084,40.44216770018873,6.875168509032084,540.0,65,127,192,1513.0,8353,False,I,7.282,US$,10.0,21846.0,2025-11-01,2025-11-30
T0921,CARCAÇA PLASTICA P/VT634,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000930,D,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,65,127,192,0.0,0,False,I,nan,<NA>,10.0,nan,2025-11-01,2025-11-30
T322.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000032,D,94.0,0,94,0,188.0,190,0.0,5,nan,151,0.0,0.0,98.94736842105263,0.0,1.0526315789473684,121.0,65,127,192,94.0,-2165,False,I,10.395,US$,10.0,0.0,2025-11-01,2025-11-30
T323.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000033,C,77.0,160,51,0,288.0,407,0.0,0,nan,201,0.0,0.0,70.76167076167076,0.0,0.9828009828009828,111.0,65,127,192,77.0,-2384,False,I,10.857,US$,10.0,0.0,2025-11-01,2025-11-30
T3245,SENSOR DE TEMPERATURA,3000,SENSORES,6615.0,AUTOTEC,X000865,B,555.0,610,555,0,1720.0,2536,0.0,0,nan,1001,0.0,0.0,67.82334384858044,0.0,22.71293375394322,503.0,65,127,192,555.0,-184,False,I,1.28,US$,10.0,0.0,2025-11-01,2025-11-30
T355.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000052,D,1.0,0,1,0,2.0,97,0.0,0,nan,61,0.0,0.0,2.0618556701030926,0.0,0.0,49.0,65,127,192,1.0,-1058,False,I,4.026,US$,10.0,0.0,2025-11-01,2025-11-30
T368.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000054,C,136.0,0,136,0,272.0,105,0.0,0,nan,101,0.0,0.0,259.04761904761904,0.0,0.0,351.0,65,127,192,136.0,-1033,False,I,10.857,US$,10.0,0.0,2025-11-01,2025-11-30
T375.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000056,D,37.0,50,37,0,124.0,90,0.0,0,nan,71,0.0,0.0,137.77777777777777,0.0,73.33333333333333,44.0,65,127,192,37.0,-317,False,I,3.025,US$,10.0,0.0,2025-11-01,2025-11-30
T378.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000059,C,31.0,100,31,0,162.0,170,0.0,0,nan,71,0.0,0.0,95.29411764705881,0.0,70.58823529411765,142.0,65,127,192,31.0,-406,False,I,3.157,US$,10.0,0.0,2025-11-01,2025-11-30
T4098,PLUG ELETRONICO,3001,PLUG ELETRONICO,2102.0,FAE,X000073,D,6.0,0,6,0,12.0,9,0.0,0,nan,11,0.0,0.0,133.33333333333331,0.0,22.22222222222222,74.0,35,43,78,6.0,-55,False,I,5.1,EUR,10.0,0.0,2025-11-01,2025-11-30
T4249,PLUG ELETRONICO,3001,PLUG ELETRONICO,7909.0,FLY AUTO PARTS CO.,X000981,B,1431.0,760,1431,108,3514.0,2924,0.0,0,nan,1101,0.0,0.0,120.17783857729138,0.0,40.93707250341998,446.0,65,92,157,1431.0,-10107,False,I,1.5,US$,10.0,0.0,2025-11-01,2025-11-30
T4250,PLUG ELETRONICO,3001,PLUG ELETRONICO,7542.0,HLO-CENWAN,X000982,D,277.0,0,277,0,554.0,144,0.0,0,nan,71,0.0,0.0,384.72222222222223,0.0,0.0,68.0,65,107,172,277.0,-495,False,I,2.7,US$,10.0,0.0,2025-11-01,2025-11-30
T4260,PLUG ELETRONICO,3001,PLUG ELETRONICO,7909.0,FLY AUTO PARTS CO.,X000955,D,152.0,0,152,0,304.0,20,0.0,0,nan,11,0.0,0.0,1520.0,0.0,100.0,261.0,65,92,157,152.0,-837,False,I,2.0,US$,10.0,0.0,2025-11-01,2025-11-30
T432.83,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,5024.0,OSSCA,X000085,B,485.0,643,459,0,1587.0,2256,0.0,0,nan,2,0.0,0.0,70.34574468085107,0.0,0.22163120567375888,587.0,65,127,192,485.0,-3858,False,I,5.7,US$,10.0,0.0,2025-11-01,2025-11-30
T443.71,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000086,B,0.0,550,0,0,550.0,908,9.95068493150685,0,nan,2,0.0,0.0,60.57268722466961,0.0,100.0,0.0,65,127,192,0.0,-5671,True,I,3.135,US$,10.0,0.0,2025-11-01,2025-11-30
T443.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000087,A,1397.0,1350,1396,140,4003.0,4787,0.0,0,nan,2,0.0,0.0,83.62231042406518,0.0,20.80635053269271,301.0,65,127,192,1397.0,-13238,False,I,3.135,US$,10.0,0.0,2025-11-01,2025-11-30
T451.71,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000088,C,300.0,100,300,200,500.0,1100,304.3835616438356,0,nan,301,0.0,0.0,45.45454545454545,0.0,100.0,0.0,65,127,192,300.0,-1510,True,I,2.97,US$,10.0,0.0,2025-11-01,2025-11-30
T451.76,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000089,D,100.0,0,100,0,200.0,0,0.0,0,nan,101,0.0,0.0,0.0,0.0,0.0,0.0,65,127,192,100.0,-598,True,I,2.97,US$,10.0,0.0,2025-11-01,2025-11-30
T471.80/87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000956,A,599.0,1385,599,1094,1489.0,1885,0.0,20,nan,801,0.0,0.0,78.9920424403183,0.0,30.185676392572947,380.0,65,127,192,599.0,-15487,False,I,7.348,US$,10.0,0.0,2025-11-01,2025-11-30
T471.93/88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000947,C,2158.0,0,2158,208,4108.0,835,0.0,0,nan,601,0.0,0.0,491.97604790419166,0.0,95.32934131736526,1480.0,65,127,192,2158.0,-10966,False,I,7.348,US$,10.0,0.0,2025-11-01,2025-11-30
T474.95,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000901,C,416.0,0,416,18,814.0,705,0.0,0,nan,301,0.0,0.0,115.46099290780141,0.0,30.78014184397163,82.0,65,127,192,416.0,-1764,False,I,2.024,US$,10.0,0.0,2025-11-01,2025-11-30
T475.95,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000902,B,397.0,850,311,245,1313.0,2535,0.0,0,nan,2,0.0,0.0,51.7948717948718,0.0,23.353057199211044,192.0,65,127,192,397.0,-5010,False,I,1.837,US$,10.0,0.0,2025-11-01,2025-11-30
T476.80,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000904,B,308.0,1100,308,30,1686.0,2881,7.8931506849315065,10,nan,2,0.0,0.0,58.5213467545991,0.0,17.424505380076365,131.0,65,127,192,308.0,-5338,False,I,1.837,US$,10.0,0.0,2025-11-01,2025-11-30
T476.87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000903,D,55.0,0,55,10,100.0,12,0.0,0,nan,2,0.0,0.0,833.3333333333334,0.0,0.0,21.0,65,127,192,55.0,-856,False,I,1.727,US$,10.0,0.0,2025-11-01,2025-11-30
T477.87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000890,C,422.0,0,422,30,814.0,657,0.0,0,nan,301,0.0,0.0,123.89649923896499,0.0,100.0,239.0,65,127,192,422.0,620,False,I,1.881,US$,10.0,0.0,2025-11-01,2025-11-30
T478.105,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000893,D,49.0,0,49,15,83.0,15,5.506849315068493,0,nan,2,0.0,0.0,553.3333333333334,0.0,100.0,12.0,65,127,192,49.0,-739,False,I,1.925,US$,10.0,0.0,2025-11-01,2025-11-30
T478.87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880.0,TCI GLOBAL CORP,X000892,D,74.0,0,74,0,148.0,0,0.0,0,nan,2,0.0,0.0,0.0,0.0,0.0,6.0,65,127,192,74.0,-742,False,I,1.925,US$,10.0,0.0,2025-11-01,2025-11-30
