Classifica__o,XGB_WMAPE,BASE_WMAPE,Melhoria,XGB_R2
GERAL,30.160290361816887,42.99610604598951,29.85343758907649,0.8933741474514396
ABC-A,27.238844165103853,37.588196364864565,27.53351637120512,0.8581629743007916
ABC-B,39.180047185938264,49.55237326586956,20.9320470369388,0.6907802360623725
ABC-C,30.378414693460414,44.06564286759478,31.060997374441467,0.8958873840848933
XYZ-X,22.819186975901054,37.71547169849814,39.49648261509154,0.8984750456843467
XYZ-Y,36.24665053976931,43.727539597027324,17.10795788237437,0.6725048997812513
XYZ-Z,34.42295106796821,47.107772897720025,26.927237373953105,0.8593109162675454
ABC-XYZ-AX,20.522296539533333,34.87838114381606,41.160409782459354,0.8922396856073502
ABC-XYZ-AY,32.41488078010311,38.59545853618092,16.01374356074534,0.5874245380391399
ABC-XYZ-AZ,32.32591953330727,40.81773604247723,20.804232014075687,0.6712271916750931
ABC-XYZ-BX,33.35053052610555,43.071189925469035,22.56882017001211,0.7657431609717595
ABC-XYZ-BY,40.23309443891615,52.52380038973278,23.400260186083543,0.5366125538945954
ABC-XYZ-CX,23.315718772624873,38.47654121650868,39.40276845201181,0.897655265361838
