MONTH,Component,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO,Consumption,month_str,consumption_rounded,year,quarter,month_name,is_current_year
2020-01-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-01-01,0.0,2020,1,January,False
2020-01-01,T0911,0,15,1580.6999999999998,0.0,1580.6999999999998,15.0,2020-01-01,15.0,2020,1,January,False
2020-01-01,T0911,0,1501,107211.95,0.0,107270.99,1501.0,2020-01-01,1501.0,2020,1,January,False
2020-02-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-02-01,0.0,2020,1,February,False
2020-02-01,T0911,0,11,944.8,0.0,944.8,11.0,2020-02-01,11.0,2020,1,February,False
2020-02-01,T0911,0,54,4787.48,0.0,4787.48,54.0,2020-02-01,54.0,2020,1,February,False
2020-02-01,T0911,0,1643,122403.32,0.0,122403.32,1643.0,2020-02-01,1643.0,2020,1,February,False
2020-03-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-03-01,0.0,2020,1,March,False
2020-03-01,T0911,0,1,101.63,0.0,101.63,1.0,2020-03-01,1.0,2020,1,March,False
2020-03-01,T0911,0,12,1330.0,0.0,1330.0,12.0,2020-03-01,12.0,2020,1,March,False
2020-03-01,T0911,0,351,29598.73,0.0,29661.11,351.0,2020-03-01,351.0,2020,1,March,False
2020-04-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-04-01,0.0,2020,2,April,False
2020-04-01,T0911,0,3,304.89,0.0,304.89,3.0,2020-04-01,3.0,2020,2,April,False
2020-04-01,T0911,0,30,3241.0,0.0,3241.0,30.0,2020-04-01,30.0,2020,2,April,False
2020-04-01,T0911,0,333,26388.36,0.0,26388.36,333.0,2020-04-01,333.0,2020,2,April,False
2020-05-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-05-01,0.0,2020,2,May,False
2020-05-01,T0911,0,7,557.4300000000001,0.0,557.4300000000001,7.0,2020-05-01,7.0,2020,2,May,False
2020-05-01,T0911,0,35,3110.13,0.0,3110.13,35.0,2020-05-01,35.0,2020,2,May,False
2020-05-01,T0911,0,2116,173115.7,0.0,173115.7,2116.0,2020-05-01,2116.0,2020,2,May,False
2020-06-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-06-01,0.0,2020,2,June,False
2020-06-01,T0911,0,2,203.26,0.0,203.26,2.0,2020-06-01,2.0,2020,2,June,False
2020-06-01,T0911,0,7,773.74,0.0,773.74,7.0,2020-06-01,7.0,2020,2,June,False
2020-06-01,T0911,0,1206,94923.14,0.0,94923.14,1206.0,2020-06-01,1206.0,2020,2,June,False
2020-07-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-07-01,0.0,2020,3,July,False
2020-07-01,T0911,0,7,630.16,0.0,630.16,7.0,2020-07-01,7.0,2020,3,July,False
2020-07-01,T0911,0,48,4199.3099999999995,0.0,4199.3099999999995,48.0,2020-07-01,48.0,2020,3,July,False
2020-07-01,T0911,0,1067,89542.76,0.0,89542.76,1067.0,2020-07-01,1067.0,2020,3,July,False
2020-08-01,T0911,0,0,0.0,0.0,0.0,0.0,2020-08-01,0.0,2020,3,August,False
2020-08-01,T0911,0,10,1067.1,0.0,1067.1,10.0,2020-08-01,10.0,2020,3,August,False
2020-08-01,T0911,8,48,4753.42,935.6,5689.02,56.0,2020-08-01,56.0,2020,3,August,False
