B1_COD,DTA_LANCAMENTO,QTD_LANCADA
C10000,2025-03-25,-17
C10000,2025-04-11,0
C1300,2024-07-16,0
C1313,2024-07-16,0
C1317,2024-07-16,0
C1319,2024-07-16,0
C1324,2024-07-16,0
C1329,2024-07-16,0
C1336,2024-07-16,0
C1338,2024-07-16,0
C1344,2024-07-16,0
C1347,2024-07-16,0
C1373,2024-07-16,0
C1374,2024-07-16,0
C1387,2024-07-16,0
C1702,2024-07-16,0
C1705,2024-07-16,0
C1706,2024-07-16,0
C1707,2024-07-16,0
C1708,2024-07-16,0
C1716,2024-07-16,0
C1747,2024-07-16,0
C1757,2024-07-16,0
C1767,2024-07-16,0
C1776,2024-07-16,0
C19017,2024-07-16,0
C19024,2024-07-16,0
C212747143,2024-07-16,0
C241047138,2024-07-16,0
C241047139,2024-07-16,0
