Cod_Produto,Cod_Fornecedor,Cod_X,Ativo,Excecao,Sob_Demanda,In_Inventory_Histories,B1_COD,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,B1_ATIVO,MULTIPLO_COMPRA,DTA_CADASTRO,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,KANBAN_MIN,KANBAN_MAX
T0908,2880,X000928,False,True,False,True,T0908,CARCAÇA PLASTICA P/VT563,TC02,VALVULAS VT,I,N,10,2017-11-01,D,0.0,0.0,0.0,0.0,0
T0909,2880,X000927,False,True,False,True,T0909,CARCAÇA PLASTICA P/VT562,TC02,VALVULAS VT,I,N,10,2017-11-01,D,0.0,0.0,0.0,0.0,0
T0911,2880,X000929,True,False,False,True,T0911,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,I,S,10,2017-11-01,A,161.08,17.92,15.61,nan,4801
T0912L,2880,X000923,True,False,False,True,T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,I,S,10,2017-09-28,A,211.2,22.36,22.51,nan,3001
T0921,2880,X000930,False,True,False,True,T0921,CARCAÇA PLASTICA P/VT634,TC02,VALVULAS VT,I,N,10,2017-11-01,D,0.0,0.0,0.0,0.0,0
T322.88,2880,X000032,True,False,False,True,T322.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,D,249.32,24.51,18.41,nan,151
T323.88,2880,X000033,True,False,False,True,T323.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,C,249.32,24.51,18.4,nan,201
T3245,6615,X000865,True,False,False,True,T3245,SENSOR DE TEMPERATURA,3000,SENSORES,I,S,10,2014-05-12,B,37.63,2.5,2.14,nan,1001
T355.82,2880,X000052,True,False,False,True,T355.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,D,75.04,9.69,7.61,nan,61
T368.88,2880,X000054,True,False,False,True,T368.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,C,187.11,60.06,19.25,nan,101
T375.88,2880,X000056,True,False,False,True,T375.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,D,49.93,4.97,4.9,nan,71
T378.88,2880,X000059,True,False,False,True,T378.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,C,47.24,4.23,4.9,nan,71
T4098,2102,X000073,True,False,False,True,T4098,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10,2014-05-12,D,92.23,16.59,4.32,nan,11
T4249,7909,X000981,True,False,False,True,T4249,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10,2018-10-09,B,32.36,2.93,2.93,nan,1101
T4250,7542,X000982,True,False,False,True,T4250,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10,2018-10-09,D,60.07,6.24,6.24,nan,71
T4260,7909,X000955,True,False,False,True,T4260,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10,2018-05-23,D,34.09,3.9,3.69,nan,11
T432.83,5024,X000085,True,False,False,True,T432.83,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,B,123.22,12.0,31.92,nan,2
T443.71,2880,X000086,False,False,True,True,T443.71,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2015-01-12,B,0.0,0.0,0.0,nan,2
T443.82,2880,X000087,True,False,False,True,T443.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-12,A,68.54,5.25,5.01,nan,2
T451.71,2880,X000088,False,False,True,True,T451.71,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-06,C,0.0,0.0,0.0,nan,301
T451.76,2880,X000089,False,False,True,True,T451.76,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2014-05-06,D,0.0,0.0,0.0,nan,101
T471.80/87,2880,X000956,True,False,False,True,T471.80/87,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2018-05-24,A,197.55,11.43,12.39,nan,801
T471.93/88,2880,X000947,True,False,False,True,T471.93/88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2018-05-10,C,197.55,0.0,12.39,nan,601
T474.95,2880,X000901,True,False,False,True,T474.95,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2017-06-09,C,79.15999999999998,3.47,3.48,nan,301
T475.95,2880,X000902,True,False,False,True,T475.95,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2017-06-09,B,132.47,6.0,3.06,nan,2
T476.80,2880,X000904,True,False,False,True,T476.80,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10,2017-06-14,B,132.47,6.0,3.06,nan,2
