COD_MTE_COMP,DATA_PEDIDO,QTDE_PEDIDA,QTDE_SALDO,QTDE_ENTREGUE,VALOR_UNITARIO,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO
R5064,2020-01-01,0,0,0,0.0,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,0.0,0.0,0.0,0.0
R5064,2020-01-01,3,0,3,17.77,53.31,0.0,53.31
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,2,0,2,17.77,35.54,0.0,35.54
R5064,2020-01-01,2,2,0,17.77,0.0,35.54,35.54
R5064,2020-01-01,1,0,1,17.77,17.77,0.0,17.77
R5064,2020-01-01,1,0,1,17.77,17.77,0.0,17.77
R5064,2020-01-01,1,0,1,17.77,17.77,0.0,17.77
R5064,2020-01-01,4,0,4,17.77,71.08,0.0,71.08
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,3,0,3,16.29,48.87,0.0,48.87
R5064,2020-01-01,1,0,1,17.24,17.24,0.0,17.24
R5064,2020-01-01,3,0,3,17.77,53.31,0.0,53.31
R5064,2020-01-01,1,0,1,17.77,17.77,0.0,17.77
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,1,0,1,15.8,15.8,0.0,15.8
R5064,2020-01-01,0,0,0,15.8,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,15.8,0.0,0.0,0.0
R5064,2020-01-01,1,0,1,16.29,16.29,0.0,16.29
R5064,2020-01-01,2,0,2,15.8,31.6,0.0,31.6
R5064,2020-01-01,1,0,1,15.8,15.8,0.0,15.8
R5064,2020-01-01,2,0,2,17.77,35.54,0.0,35.54
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
R5064,2020-01-01,0,0,0,17.77,0.0,0.0,0.0
