DATA_PEDIDO,Component,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO,Consumption
2020-01-01,T0911,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0911,0,1,70.47,0.0,70.47,2.0
2020-01-01,T0911,0,1,72.65,0.0,72.65,10.0
2020-01-01,T0911,0,1,72.99,0.0,72.99,1.0
2020-01-01,T0911,0,1,74.48,0.0,74.48,4.0
2020-01-01,T0911,0,1,76.78,0.0,76.78,24.0
2020-01-01,T0911,0,1,105.38,0.0,105.38,1.0
2020-01-01,T0911,0,2,140.94,0.0,140.94,4.0
2020-01-01,T0911,0,2,145.3,0.0,145.3,6.0
2020-01-01,T0911,0,2,148.95,0.0,148.95,8.0
2020-01-01,T0911,0,2,148.96,0.0,148.96,10.0
2020-01-01,T0911,0,2,153.56,0.0,153.56,30.0
2020-01-01,T0911,0,3,217.95,0.0,217.95,18.0
2020-01-01,T0911,0,3,223.43,0.0,223.43,6.0
2020-01-01,T0911,0,3,223.44,0.0,223.44,12.0
2020-01-01,T0911,0,3,230.34,0.0,230.34,27.0
2020-01-01,T0911,0,4,290.6,0.0,290.6,36.0
2020-01-01,T0911,0,4,291.96,0.0,291.96,8.0
2020-01-01,T0911,0,4,297.91,0.0,297.91,4.0
2020-01-01,T0911,0,4,297.92,0.0,297.92,8.0
2020-01-01,T0911,0,4,307.12,0.0,307.12,56.0
2020-01-01,T0911,0,5,304.21,0.0,363.25,5.0
2020-01-01,T0911,0,5,352.35,0.0,352.35,10.0
2020-01-01,T0911,0,5,363.25,0.0,363.25,5.0
2020-01-01,T0911,0,5,372.38,0.0,372.38,5.0
2020-01-01,T0911,0,5,372.4,0.0,372.4,10.0
2020-01-01,T0911,0,5,383.9,0.0,383.9,35.0
2020-01-01,T0911,0,6,435.9,0.0,435.9,36.0
2020-01-01,T0911,0,6,437.94,0.0,437.94,12.0
2020-01-01,T0911,0,6,446.88,0.0,446.88,12.0
