COD_MTE_COMP,DATA_PEDIDO,QTDE_PEDIDA,VALOR_UNITARIO,_next_month,base_date
R5064,2020-01-02,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-03,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-04,3.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-05,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-06,2.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-06,2.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-07,1.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-07,1.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-08,1.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-09,4.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-10,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-11,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-12,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-13,3.0,16.29,2020-02-01,2025-11-01
R5064,2020-01-14,1.0,17.24,2020-02-01,2025-11-01
R5064,2020-01-14,3.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-15,1.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-16,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-17,1.0,15.8,2020-02-01,2025-11-01
R5064,2020-01-18,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-19,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-20,1.0,16.29,2020-02-01,2025-11-01
R5064,2020-01-20,2.0,15.8,2020-02-01,2025-11-01
R5064,2020-01-20,1.0,15.8,2020-02-01,2025-11-01
R5064,2020-01-20,2.0,17.77,2020-02-01,2025-11-01
R5064,2020-01-21,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-22,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-23,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-24,0.0,0.0,2020-02-01,2025-11-01
R5064,2020-01-25,0.0,0.0,2020-02-01,2025-11-01
