date,Componente,QTD_ESTOQUE
2023-12-08,T036L,0.0
2023-12-09,T036L,0.0
2023-12-10,T036L,0.0
2023-12-11,T036L,0.0
2023-12-12,T036L,0.0
2023-12-13,T036L,0.0
2023-12-14,T036L,0.0
2023-12-15,T036L,0.0
2023-12-16,T036L,0.0
2023-12-17,T036L,0.0
2023-12-18,T036L,0.0
2023-12-19,T036L,0.0
2023-12-20,T036L,0.0
2023-12-21,T036L,0.0
2023-12-22,T036L,0.0
2023-12-23,T036L,0.0
2023-12-24,T036L,0.0
2023-12-25,T036L,0.0
2023-12-26,T036L,0.0
2023-12-27,T036L,0.0
2023-12-28,T036L,0.0
2023-12-29,T036L,0.0
2023-12-30,T036L,0.0
2023-12-31,T036L,0.0
2024-01-01,T036L,0.0
2024-01-02,T036L,0.0
2024-01-03,T036L,0.0
2024-01-04,T036L,0.0
2024-01-05,T036L,0.0
2024-01-06,T036L,0.0
