Component,Description,Group_code,Group_name,Supp_Cod,Supplier,Cod_X,ABC,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Lost_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,Order_sug,Final_order,Total_Stock_Sales_12M,Order_sug_Sales_12M,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,base_month,base_date
T0911,CARCAÇA PLASTICA P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000929,A,2062.0,0,0,671,1391.0,22439,0.0,20.0,nan,4801,6340.0,6340.0,nan,nan,50.43896786844334,0.0,65,127,192,2062.0,7725,False,I,6.23,US$,10.0,39498.200000000004,2019-12-01,2019-12-31
T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000923,A,392.0,0,0,21,371.0,15065,0.0,0.0,nan,3001,3700.0,3700.0,nan,nan,5.741785595751742,0.0,65,127,192,392.0,4068,False,I,7.28,US$,10.0,26936.0,2019-12-01,2019-12-31
T322.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000032,D,47.0,0,0,0,47.0,462,0.0,5.0,nan,151,110.0,110.0,nan,nan,0.4329004329004329,0.0,65,127,192,47.0,154,False,I,10.4,US$,10.0,1144.0,2019-12-01,2019-12-31
T323.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000033,C,289.0,0,0,0,289.0,961,0.0,3.0,nan,201,0.0,0.0,nan,nan,0.41623309053069724,0.0,65,127,192,289.0,280,False,I,10.86,US$,10.0,0.0,2019-12-01,2019-12-31
T3245,SENSOR DE TEMPERATURA,3000,SENSORES,6615,AUTOTEC,X000865,B,685.0,0,0,0,685.0,4909,0.0,0.0,nan,1001,680.0,680.0,nan,nan,17.376247708290897,0.0,65,127,192,685.0,1365,False,I,1.28,US$,10.0,870.4,2019-12-01,2019-12-31
T355.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000052,D,68.0,0,0,0,68.0,223,0.0,0.0,nan,61,0.0,0.0,nan,nan,4.0358744394618835,0.0,65,127,192,68.0,64,False,I,4.03,US$,10.0,0.0,2019-12-01,2019-12-31
T368.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000054,C,221.0,0,0,0,221.0,245,0.0,0.0,nan,101,0.0,0.0,nan,nan,0.0,0.0,65,127,192,221.0,51,False,I,10.86,US$,10.0,0.0,2019-12-01,2019-12-31
T375.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000056,D,105.0,0,0,0,105.0,220,0.0,0.0,nan,71,0.0,0.0,nan,nan,45.909090909090914,0.0,65,127,192,105.0,45,False,I,3.02,US$,10.0,0.0,2019-12-01,2019-12-31
T378.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000059,C,142.0,0,0,0,142.0,294,0.0,0.0,nan,71,0.0,0.0,nan,nan,78.2312925170068,0.0,65,127,192,142.0,25,False,I,3.16,US$,10.0,0.0,2019-12-01,2019-12-31
T4098,PLUG ELETRONICO,3001,PLUG ELETRONICO,2102,FAE,X000073,D,52.0,0,0,0,52.0,40,0.0,0.0,nan,11,0.0,0.0,nan,nan,57.49999999999999,0.0,35,43,78,52.0,1,False,I,5.1,EUR,10.0,0.0,2019-12-01,2019-12-31
