MONTH,Component,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO,Consumption
2020-01-01,T0911,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0911,0,15,1580.6999999999998,0.0,1580.6999999999998,15.0
2020-01-01,T0911,0,1501,107211.95,0.0,107270.99,1501.0
2020-01-01,T0911L,0,4,354.89,0.0,423.75,4.0
2020-01-01,T0911L,0,10,1186.42,0.0,1186.42,10.0
2020-01-01,T0912L,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0912L,0,263,33943.15,0.0,33943.15,263.0
2020-01-01,T0912L,0,524,64389.67,0.0,64389.67,524.0
2020-01-01,T0914L,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0922,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0922L,0,4,354.89,0.0,423.75,4.0
2020-01-01,T0922L,0,10,1186.42,0.0,1186.42,10.0
2020-01-01,T0923,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0924,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0925,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0926,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0927,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0928L,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0929,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0930L,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0931,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0932,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0933L,0,0,0.0,0.0,0.0,0.0
2020-01-01,T0934L,0,0,0.0,0.0,0.0,0.0
2020-01-01,T3128,0,0,0.0,0.0,0.0,0.0
2020-01-01,T3133,0,0,0.0,0.0,0.0,0.0
2020-01-01,T3137,0,0,0.0,0.0,0.0,0.0
2020-01-01,T3142,0,0,0.0,0.0,0.0,0.0
2020-01-01,T3146,0,0,0.0,0.0,0.0,0.0
2020-01-01,T3147,0,0,0.0,0.0,0.0,0.0
