DATA_PEDIDO,Component,consumption_predicted_month,base_date
2020-01-02,T0911,68.0,2025-11-01
2020-01-02,T0911L,0.0,2025-11-01
2020-01-02,T0912L,31.0,2025-11-01
2020-01-02,T0914L,0.0,2025-11-01
2020-01-02,T0922,0.0,2025-11-01
2020-01-02,T0922L,0.0,2025-11-01
2020-01-02,T0923,0.0,2025-11-01
2020-01-02,T0924,0.0,2025-11-01
2020-01-02,T0925,0.0,2025-11-01
2020-01-02,T0926,0.0,2025-11-01
2020-01-02,T0927,0.0,2025-11-01
2020-01-02,T0928L,0.0,2025-11-01
2020-01-02,T0929,0.0,2025-11-01
2020-01-02,T0930L,0.0,2025-11-01
2020-01-02,T0931,0.0,2025-11-01
2020-01-02,T0932,0.0,2025-11-01
2020-01-02,T0933L,0.0,2025-11-01
2020-01-02,T0934L,0.0,2025-11-01
2020-01-02,T3128,0.0,2025-11-01
2020-01-02,T3133,0.0,2025-11-01
2020-01-02,T3137,0.0,2025-11-01
2020-01-02,T3142,0.0,2025-11-01
2020-01-02,T3146,0.0,2025-11-01
2020-01-02,T3147,0.0,2025-11-01
2020-01-02,T3148,0.0,2025-11-01
2020-01-02,T3153,0.0,2025-11-01
2020-01-02,T3154,0.0,2025-11-01
2020-01-02,T3156,0.0,2025-11-01
2020-01-02,T3164,0.0,2025-11-01
2020-01-02,T3168,0.0,2025-11-01
