DATA_PEDIDO,Component,consumption_predicted_month,base_date,classe_abc,classe_xyz,classe_abc_xyz
2020-01-01,T0911,1516.0,2019-12-01,A,X,AX
2020-01-01,T0911L,14.0,2019-12-01,A,Y,AY
2020-01-01,T0912L,787.0,2019-12-01,A,Y,AY
2020-01-01,T0914L,0.0,2019-12-01,A,Z,AZ
2020-01-01,T0922,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0922L,14.0,2019-12-01,A,Y,AY
2020-01-01,T0923,0.0,2019-12-01,A,Y,AY
2020-01-01,T0924,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0925,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0926,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0927,0.0,2019-12-01,B,Z,BZ
2020-01-01,T0928L,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0929,0.0,2019-12-01,B,Z,BZ
2020-01-01,T0930L,0.0,2019-12-01,B,Z,BZ
2020-01-01,T0931,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0932,0.0,2019-12-01,B,Z,BZ
2020-01-01,T0933L,0.0,2019-12-01,C,Z,CZ
2020-01-01,T0934L,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3128,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3133,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3137,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3142,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3146,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3147,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3148,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3153,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3154,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3156,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3164,0.0,2019-12-01,C,Z,CZ
2020-01-01,T3168,0.0,2019-12-01,C,Z,CZ
