PRODUTO,QTDE_NAO_ENTREGUE,EMBARQUE_EFET,ENTREGA_PREVISTA_SI,PROFORMA,COD_FORNE,FORNEC_NOM,PEDIDO,INVOICE,PROCESSO,DATA_SI,CONFIRMACAO_PEDIDO,EMBARQUE_PREVISTO_PO,CHEG_PORTO_ETA,CHEG_PORTO_ETA_15,CODIGO_X_MTE,COD_PROD_FOR,ENTREGA_PREVISTA_PO,NUMERO_SI
T0911,2100,NaT,2026-01-08,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-03,nan,2025-11-23,NaT,NaT,X000929,nan,2025-01-14,3957
T0911,500,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X000929,nan,2025-01-14,3998
T0911L,350,2025-10-22,2025-12-09,PI-250808-G158,2880,TCI GLOBAL CORP,035-117358-P,SMT-25124,035-002708-E,2025-08-05,nan,2025-10-23,2025-11-29,2025-12-14,X001080,nan,2025-12-14,3903
T0911L,600,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X001080,nan,2026-03-21,4073
T0912L,100,2025-10-22,2025-12-09,PI-250808-G158,2880,TCI GLOBAL CORP,035-117358-P,SMT-25124,035-002708-E,2025-08-05,nan,2025-10-23,2025-11-29,2025-12-14,X000923,nan,2025-12-14,3903
T0912L,180,NaT,2026-01-08,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-03,nan,2025-11-23,NaT,NaT,X000923,nan,2025-01-14,3957
T0912L,1800,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X000923,nan,2025-01-14,3998
T0912L,810,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X000923,nan,2026-03-21,4073
T0914L,460,2025-10-22,2025-12-09,PI-250808-G158,2880,TCI GLOBAL CORP,035-117358-P,SMT-25124,035-002708-E,2025-08-05,nan,2025-10-23,2025-11-29,2025-12-14,X001129,nan,2025-12-14,3903
T0914L,450,2025-10-22,2026-01-08,PI-250808-G158,2880,TCI GLOBAL CORP,035-117358-P,SMT-25124,035-002708-E,2025-09-03,nan,2025-12-07,2025-11-29,2025-12-14,X001129,nan,2026-01-08,3957
T0914L,110,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X001129,nan,2025-01-14,3998
T0914L,1000,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X001129,nan,2026-03-21,4073
T0922L,850,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X001270,nan,2026-03-21,4073
T0923,420,NaT,2026-01-08,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-03,nan,2025-11-23,NaT,NaT,X001079,nan,2025-01-14,3957
T0923,70,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X001079,nan,2025-01-14,3998
T0923,500,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X001079,nan,2026-03-21,4073
T0928L,20,NaT,2026-01-08,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-03,nan,2025-11-23,NaT,NaT,X001239,nan,2025-01-14,3957
T0930L,240,NaT,2026-01-08,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-03,nan,2025-11-23,NaT,NaT,X001250,nan,2025-01-14,3957
T0930L,50,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X001250,nan,2025-01-14,3998
T0930L,250,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X001250,nan,2026-03-21,4073
T0933L,20,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X001646,nan,2025-01-14,3998
T0933L,60,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X001646,nan,2026-03-21,4073
T0935L,50,NaT,2026-01-29,PI-250908-G178,2880,TCI GLOBAL CORP,035-117437-P,nan,nan,2025-09-24,nan,2025-11-23,NaT,NaT,X000164,nan,2025-01-14,3998
T0935L,60,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X000164,nan,2026-03-21,4073
T323.88,70,2025-10-22,2025-12-09,PI-250808-G158,2880,TCI GLOBAL CORP,035-117358-P,SMT-25124,035-002708-E,2025-08-05,nan,2025-11-07,2025-11-29,2025-12-14,X000033,nan,2025-12-09,3903
T323.88,90,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,nan,nan,2025-11-07,nan,2026-01-28,NaT,NaT,X000033,nan,2026-03-21,4073
