PRODUTO,DESCRICAO,QUANT_BO,DT_ENTREGA
R79517         ,BOBINA DE IGNICAO             ,2.0,2025-01-21
R79525         ,BOBINA DE IGNICAO             ,3.0,2025-10-29
R7954          ,BOBINA DE IGNICAO             ,4.0,2025-10-24
R79564         ,BOBINA DE IGNICAO             ,20.0,2024-12-19
R79574         ,BOBINA DE IGNICAO             ,5.0,2024-11-29
R79574         ,BOBINA DE IGNICAO             ,35.0,2024-12-16
R7960          ,BOBINA DE IGNICAO             ,1.0,2025-10-29
R7961          ,BOBINA DE IGNICAO             ,20.0,2025-10-24
R7962          ,BOBINA DE IGNICAO             ,2.0,2025-11-14
R7976          ,BOBINA DE IGNICAO             ,4.0,2025-11-14
R7979          ,BOBINA DE IGNICAO             ,1.0,2025-10-29
R7986          ,BOBINA DE IGNICAO             ,12.0,2025-10-24
R7992          ,BOBINA DE IGNICAO             ,10.0,2025-10-24
R7994          ,BOBINA DE IGNICAO             ,40.0,2025-10-11
R7995          ,BOBINA DE IGNICAO             ,3.0,2025-03-14
R7995          ,BOBINA DE IGNICAO             ,3.0,2025-04-04
R7995          ,BOBINA DE IGNICAO             ,5.0,2025-04-21
R7995          ,BOBINA DE IGNICAO             ,400.0,2025-04-30
R7506          ,CORPO DE BORBOLETA            ,5.0,2025-03-14
R814           ,INTERRUPTOR DE TEMPERATURA    ,50.0,2025-02-17
R814           ,INTERRUPTOR DE TEMPERATURA    ,30.0,2025-09-04
R814           ,INTERRUPTOR DE TEMPERATURA    ,30.0,2025-10-29
R832AR         ,INTERRUPTOR DE TEMPERATURA    ,10.0,2025-01-30
R850           ,INTERRUPTOR DE TEMPERATURA    ,13.0,2025-10-29
R871           ,INTERRUPTOR DE TEMPERATURA    ,50.0,2025-10-29
R872           ,INTERRUPTOR DE TEMPERATURA    ,100.0,2024-12-16
R872           ,INTERRUPTOR DE TEMPERATURA    ,100.0,2024-12-19
R872           ,INTERRUPTOR DE TEMPERATURA    ,5.0,2025-03-18
R872           ,INTERRUPTOR DE TEMPERATURA    ,5.0,2025-04-04
R872           ,INTERRUPTOR DE TEMPERATURA    ,50.0,2025-09-04
