A1_COD,GRUPO_PRODUTO,DATA_INICIAL,DATA_FINAL,TIPO_META,ANO_CAMP,COMPRA_TOTAL_VALOR,COMPRA_TOTAL_QUANTIDADE,META_VALOR,META_QTDE,COD_CAMPANHA,PRODUTO
81,0200,2015-12-01,2016-02-29,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_1o_TRIM,nan
81,TC02,2015-12-01,2016-02-29,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_1o_TRIM,nan
81,TCAL,2015-12-01,2016-02-29,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_1o_TRIM,nan
81,TFAC,2015-12-01,2016-02-29,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_1o_TRIM,nan
81,TFED,2015-12-01,2016-02-29,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_1o_TRIM,nan
81,KOMB,2015-12-01,2016-02-29,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_1o_TRIM,nan
81,nan,2016-01-01,2016-03-31,VALOR,2016,0.0,0.0,46833.0,0.0,CAMP_BONIFICACAO_VALOR_2016_1o_TRIM,nan
81,0200,2016-03-01,2016-05-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_2o_TRIM,nan
81,TC02,2016-03-01,2016-05-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_2o_TRIM,nan
81,TCAL,2016-03-01,2016-05-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_2o_TRIM,nan
81,TFAC,2016-03-01,2016-05-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_2o_TRIM,nan
81,TFED,2016-03-01,2016-05-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_2o_TRIM,nan
81,KOMB,2016-03-01,2016-05-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_2o_TRIM,nan
81,nan,2016-04-01,2016-06-30,VALOR,2016,0.0,0.0,46833.0,0.0,CAMP_BONIFICACAO_VALOR_2016_2o_TRIM,nan
81,0200,2016-06-01,2016-08-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_3o_TRIM,nan
81,TC02,2016-06-01,2016-08-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_3o_TRIM,nan
81,TCAL,2016-06-01,2016-08-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_3o_TRIM,nan
81,TFAC,2016-06-01,2016-08-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_3o_TRIM,nan
81,TFED,2016-06-01,2016-08-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_3o_TRIM,nan
81,KOMB,2016-06-01,2016-08-31,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_3o_TRIM,nan
81,nan,2016-07-01,2016-09-30,VALOR,2016,0.0,0.0,46833.0,0.0,CAMP_BONIFICACAO_VALOR_2016_3o_TRIM,nan
81,0200,2016-09-01,2016-11-30,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_4o_TRIM,nan
81,TC02,2016-09-01,2016-11-30,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_4o_TRIM,nan
81,TCAL,2016-09-01,2016-11-30,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_4o_TRIM,nan
81,TFAC,2016-09-01,2016-11-30,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_4o_TRIM,nan
81,TFED,2016-09-01,2016-11-30,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_4o_TRIM,nan
81,KOMB,2016-09-01,2016-11-30,QUANTIDADE,2016,0.0,0.0,0.0,595.0,CAMP_PED_VANTAGENS_2016_4o_TRIM,nan
81,nan,2016-10-01,2016-12-31,VALOR,2016,0.0,0.0,46833.0,0.0,CAMP_BONIFICACAO_VALOR_2016_4o_TRIM,nan
81,0200,2016-12-01,2017-02-28,QUANTIDADE,2017,0.0,794.0,0.0,645.0,CAMP_PED_VANTAGENS_2017_1o_TRIM,nan
81,TC02,2016-12-01,2017-02-28,QUANTIDADE,2017,0.0,794.0,0.0,645.0,CAMP_PED_VANTAGENS_2017_1o_TRIM,nan
