B1_COD_PP,DATA,QTD_VENDA_NACIONAL,RECEITA_VENDA_NACIONAL,QTD_VENDA_EXPORTACAO,RECEITA_VENDA_EXPORTACAO,NAO_ATENDIDOS_REPO,NAO_ATENDIDOS_EXPO
C6815.40.025,2023-12-12,1,121,0,0,0,0
C6815.40.025,2023-12-19,1,121,0,0,0,0
C6815.40.025,2024-01-09,1,121,0,0,0,0
C6815.40.025,2024-02-01,1,121,0,0,0,0
C6815.40.025,2024-02-05,2,243,0,0,0,0
C6815.40.025,2024-03-05,2,243,0,0,0,0
C6815.40.025,2024-04-01,1,132,0,0,0,0
C6815.40.025,2024-04-03,5,576,0,0,0,0
C6815.40.025,2024-04-08,1,132,0,0,0,0
C6815.40.025,2024-07-10,5,576,0,0,0,0
C6815.40.025,2024-08-01,1,121,0,0,0,0
C6815.40.025,2024-08-23,1,132,0,0,0,0
C6815.40.025,2024-08-26,1,121,0,0,0,0
C6815.40.025,2024-09-16,1,132,0,0,0,0
C6815.40.025,2024-09-23,1,121,0,0,0,0
C6815.40.025,2024-11-25,3,346,0,0,0,0
C6815.40.025,2024-12-12,2,236,0,0,0,0
C6815.40.025,2025-03-18,5,589,0,0,0,0
C6815.40.025,2025-03-24,1,121,0,0,0,0
C6815.40.025,2025-04-07,1,121,0,0,0,0
C6815.40.025,2025-04-22,1,132,0,0,0,0
C6815.40.025,2025-05-05,5,576,0,0,0,0
C6815.40.025,2025-06-03,1,121,0,0,0,0
C6815.40.025,2025-06-18,1,121,0,0,0,0
C6815.40.025,2025-07-28,1,121,0,0,0,0
C6815.40.025,2025-08-18,4,473,0,0,0,0
C6815.40.025,2025-09-16,2,258,0,0,0,0
C6815.40.025,2025-09-22,1,136,0,0,0,0
C6815.40.025,2025-10-08,1,121,0,0,0,0
C6815.41.050,2024-03-26,0,0,10,722,0,0
